OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice
331,32,33,2,16691.26,33382.52
332,61,13,2,27370.4,54740.8
333,93,32,1,25568.4,25568.4
334,95,36,5,36481.54,182407.7
335,34,30,5,20043.61,100218.05
336,17,40,1,27014.91,27014.91
337,184,20,4,46303.04,185212.16
338,135,47,4,47030.11,188120.44
339,148,27,4,11277.2,45108.8
340,82,5,2,17275.44,34550.88
341,116,42,1,47453.95,47453.95
342,89,30,5,20043.61,100218.05
343,164,9,5,16811.12,84055.6
344,197,38,2,28914.08,57828.16
345,129,9,4,16811.12,67244.48
346,133,4,1,13762.94,13762.94
347,43,10,3,8246.78,24740.34
348,182,11,3,21498.81,64496.43
349,133,15,3,15551.27,46653.81
350,65,19,1,20437.59,20437.59
351,71,13,5,27370.4,136852
352,158,9,3,16811.12,50433.36
353,129,35,1,2105.21,2105.21
354,152,42,2,47453.95,94907.9
355,44,38,2,28914.08,57828.16
356,185,43,5,15833,79165
357,145,39,3,21915.66,65746.98
358,21,3,1,44507.69,44507.69
359,68,3,5,44507.69,222538.45
360,197,42,2,47453.95,94907.9
361,159,37,4,49214.95,196859.8
362,128,41,1,33597.3,33597.3
363,75,41,5,33597.3,167986.5
364,124,42,3,47453.95,142361.85
365,77,16,4,48615.37,194461.48
366,177,30,1,20043.61,20043.61
367,113,4,2,13762.94,27525.88
368,119,27,4,11277.2,45108.8
369,156,14,3,27715.75,83147.25
370,184,10,3,8246.78,24740.34
371,103,21,3,48815.06,146445.18
372,132,9,3,16811.12,50433.36
373,82,36,1,36481.54,36481.54
374,32,16,4,48615.37,194461.48
375,64,18,4,17813.2,71252.8
376,13,10,1,8246.78,8246.78
377,158,19,4,20437.59,81750.36
378,41,27,2,11277.2,22554.4
379,185,21,5,48815.06,244075.3
380,196,21,2,48815.06,97630.12
381,132,11,4,21498.81,85995.24
382,79,30,4,20043.61,80174.44
383,24,32,1,25568.4,25568.4
384,118,26,5,19250.58,96252.9
385,150,16,2,48615.37,97230.74
386,13,23,1,16742.84,16742.84
387,153,19,4,20437.59,81750.36
388,74,42,4,47453.95,189815.8
389,28,35,1,2105.21,2105.21
390,68,28,2,17612.99,35225.98
391,196,47,3,47030.11,141090.33
392,12,26,3,19250.58,57751.74
393,146,26,1,19250.58,19250.58
394,93,36,2,36481.54,72963.08
395,19,36,3,36481.54,109444.62
396,116,25,5,13486.92,67434.6
397,72,49,5,27487.27,137436.35
398,31,40,5,27014.91,135074.55
399,101,9,1,16811.12,16811.12
400,143,24,3,33561.38,100684.14
