OrderID,CustomerID,OrderDate,TotalAmount,OrderStatus
149,63,27-01-2026,63661.08,Delivered
150,53,28-11-2025,47266.03,Pending
151,14,01-11-2025,32445.3,Delivered
152,89,19-12-2025,33315.46,Pending
153,52,18-09-2025,29177.67,Cancelled
154,12,01-07-2025,4151.36,Pending
155,15,06-10-2025,25613.69,Pending
156,1,16-11-2025,86558.6,Cancelled
157,60,25-11-2025,87002.06,Pending
158,67,24-10-2025,5893.31,Pending
159,64,17-06-2025,62452.07,Cancelled
160,7,03-11-2025,44483.08,Delivered
161,17,05-09-2025,27072.1,Pending
162,90,28-07-2025,44092.55,Pending
163,81,22-03-2026,12581.9,Cancelled
164,91,03-02-2026,80031.72,Delivered
165,2,05-09-2025,31419.64,Cancelled
166,29,25-01-2026,41095.07,Delivered
167,16,03-05-2026,46414.07,Cancelled
168,64,01-01-2026,83298.25,Cancelled
169,91,18-08-2025,29540.23,Pending
170,62,20-08-2025,41841.29,Pending
171,71,13-08-2025,24751.23,Delivered
172,77,30-03-2026,38666.81,Cancelled
173,18,18-09-2025,74756.11,Delivered
174,54,02-09-2025,27986.62,Pending
175,65,03-11-2025,93457.72,Pending
176,37,13-11-2025,82144.67,Cancelled
177,76,11-10-2025,30206.31,Cancelled
178,63,27-02-2026,99890.78,Delivered
179,62,01-12-2025,44931.47,Pending
180,98,06-03-2026,33577.78,Cancelled
181,42,19-07-2025,38032.4,Delivered
182,31,06-05-2026,98087.08,Cancelled
183,100,11-11-2025,38605.6,Pending
184,96,22-10-2025,4842.91,Pending
185,49,24-02-2026,70670.17,Pending
186,84,11-05-2026,98847.19,Delivered
187,5,12-03-2026,49785.2,Delivered
188,76,16-09-2025,50477.97,Pending
189,57,10-08-2025,87035.18,Delivered
190,59,10-12-2025,52832.13,Delivered
191,53,17-10-2025,72383.16,Cancelled
192,10,10-01-2026,97010.7,Pending
193,34,15-03-2026,78261.77,Pending
194,51,22-07-2025,62514.31,Cancelled
195,43,16-04-2026,8491.37,Cancelled
196,49,07-03-2026,86004.55,Pending
197,98,02-03-2026,62866.52,Pending
198,5,16-03-2026,87302.11,Cancelled
199,81,08-11-2025,7307.86,Cancelled
200,30,29-07-2025,92132.45,Cancelled
