sage_transaction_id,order_id,posting_date,ledger_account,debit_amount,credit_amount,net_amount,transaction_status,source_system
SAGE_TXN_0041,O1041,2025-06-28,Online Revenue,0.0,2843.67,2843.67,Posted,SAGE
SAGE_TXN_0042,O1042,2025-04-19,Receivables,6882.41,0.0,-6882.41,Pending,SAGE
SAGE_TXN_0043,O1043,2025-08-20,Online Revenue,0.0,2245.41,2245.41,Posted,SAGE
SAGE_TXN_0044,O1044,2025-05-01,Refunds,2738.79,0.0,-2738.79,Failed,SAGE
SAGE_TXN_0045,O1045,2025-08-01,Receivables,1267.36,0.0,-1267.36,Pending,SAGE
SAGE_TXN_0046,O1046,2025-01-23,Refunds,9790.95,0.0,-9790.95,Failed,SAGE
SAGE_TXN_0047,O1047,2025-02-04,Refunds,1482.19,0.0,-1482.19,Failed,SAGE
SAGE_TXN_0048,O1048,2025-05-09,Receivables,6433.15,0.0,-6433.15,Pending,SAGE
SAGE_TXN_0049,O1049,2025-02-15,Refunds,8838.46,0.0,-8838.46,Failed,SAGE
SAGE_TXN_0050,O1050,2025-01-29,Refunds,7828.7,0.0,-7828.7,Failed,SAGE
SAGE_TXN_0051,O1051,2025-03-10,Receivables,9877.07,0.0,-9877.07,Pending,SAGE
SAGE_TXN_0052,O1052,2025-04-03,Receivables,701.51,0.0,-701.51,Pending,SAGE
SAGE_TXN_0053,O1053,2025-05-26,Receivables,741.88,0.0,-741.88,Pending,SAGE
SAGE_TXN_0054,O1054,2025-03-14,Refunds,3632.16,0.0,-3632.16,Failed,SAGE
SAGE_TXN_0055,O1055,2025-01-27,Refunds,1875.59,0.0,-1875.59,Failed,SAGE
SAGE_TXN_0056,O1056,2025-03-21,Refunds,793.05,0.0,-793.05,Failed,SAGE
SAGE_TXN_0057,O1057,2025-08-14,Refunds,4732.45,0.0,-4732.45,Failed,SAGE
SAGE_TXN_0058,O1058,2025-05-16,Receivables,8928.81,0.0,-8928.81,Pending,SAGE
SAGE_TXN_0059,O1059,2025-01-18,Receivables,5611.95,0.0,-5611.95,Pending,SAGE
SAGE_TXN_0060,O1060,2025-06-04,Receivables,9948.9,0.0,-9948.9,Pending,SAGE
SAGE_TXN_0061,O1061,2025-08-24,Refunds,8450.87,0.0,-8450.87,Failed,SAGE
SAGE_TXN_0062,O1062,2025-01-13,Receivables,9134.93,0.0,-9134.93,Pending,SAGE
SAGE_TXN_0063,O1063,2025-03-10,Sales Revenue,0.0,7248.09,7248.09,Posted,SAGE
SAGE_TXN_0064,O1064,2025-04-01,Receivables,3488.81,0.0,-3488.81,Pending,SAGE
SAGE_TXN_0065,O1065,2025-01-21,Refunds,7219.18,0.0,-7219.18,Failed,SAGE
SAGE_TXN_0066,O1066,2025-06-21,Refunds,503.99,0.0,-503.99,Failed,SAGE
SAGE_TXN_0067,O1067,2025-05-11,Sales Revenue,0.0,4060.27,4060.27,Posted,SAGE
SAGE_TXN_0068,O1068,2025-03-22,Receivables,6716.99,0.0,-6716.99,Pending,SAGE
SAGE_TXN_0069,O1069,2025-02-01,Online Revenue,0.0,6604.03,6604.03,Posted,SAGE
SAGE_TXN_0070,O1070,2025-01-29,Receivables,9363.98,0.0,-9363.98,Pending,SAGE
SAGE_TXN_0071,O1071,2025-02-02,Sales Revenue,0.0,7523.79,7523.79,Posted,SAGE
SAGE_TXN_0072,O1072,2025-02-18,Receivables,7071.19,0.0,-7071.19,Pending,SAGE
SAGE_TXN_0073,O1073,2025-05-19,Sales Revenue,0.0,9886.0,9886.0,Posted,SAGE
SAGE_TXN_0074,O1074,2025-02-20,Receivables,3679.35,0.0,-3679.35,Pending,SAGE
SAGE_TXN_0075,O1075,2025-02-14,Refunds,4318.4,0.0,-4318.4,Failed,SAGE
SAGE_TXN_0076,O1076,2025-03-21,Refunds,504.4,0.0,-504.4,Failed,SAGE
SAGE_TXN_0077,O1077,2025-07-22,Refunds,812.22,0.0,-812.22,Failed,SAGE
SAGE_TXN_0078,O1078,2025-01-26,Online Revenue,0.0,6305.52,6305.52,Posted,SAGE
SAGE_TXN_0079,O1079,2025-05-26,Receivables,4896.44,0.0,-4896.44,Pending,SAGE
SAGE_TXN_0080,O1080,2025-05-14,Receivables,1390.72,0.0,-1390.72,Pending,SAGE
SAGE_TXN_0081,O1081,2025-01-27,Receivables,6603.76,0.0,-6603.76,Pending,SAGE
SAGE_TXN_0082,O1082,2025-03-20,Refunds,1308.85,0.0,-1308.85,Failed,SAGE
SAGE_TXN_0083,O1083,2025-04-13,Refunds,3754.75,0.0,-3754.75,Failed,SAGE
SAGE_TXN_0084,O1084,2025-07-12,Refunds,3809.94,0.0,-3809.94,Failed,SAGE
SAGE_TXN_0085,O1085,2025-08-11,Online Revenue,0.0,8554.26,8554.26,Posted,SAGE
SAGE_TXN_0086,O1086,2025-08-04,Receivables,3513.25,0.0,-3513.25,Pending,SAGE
SAGE_TXN_0087,O1087,2025-02-13,Receivables,7832.44,0.0,-7832.44,Pending,SAGE
SAGE_TXN_0088,O1088,2025-08-03,Refunds,6535.88,0.0,-6535.88,Failed,SAGE
SAGE_TXN_0089,O1089,2025-01-07,Receivables,2883.67,0.0,-2883.67,Pending,SAGE
SAGE_TXN_0090,O1090,2025-08-06,Online Revenue,0.0,5078.62,5078.62,Posted,SAGE
SAGE_TXN_0091,O1091,2025-07-28,Refunds,3574.14,0.0,-3574.14,Failed,SAGE
SAGE_TXN_0092,O1092,2025-07-15,Online Revenue,0.0,4466.43,4466.43,Posted,SAGE
SAGE_TXN_0093,O1093,2025-03-03,Refunds,8546.48,0.0,-8546.48,Failed,SAGE
SAGE_TXN_0094,O1094,2025-01-10,Online Revenue,0.0,9260.81,9260.81,Posted,SAGE
SAGE_TXN_0095,O1095,2025-04-29,Receivables,7802.64,0.0,-7802.64,Pending,SAGE
SAGE_TXN_0096,O1096,2025-07-07,Refunds,7759.58,0.0,-7759.58,Failed,SAGE
SAGE_TXN_0097,O1097,2025-07-04,Refunds,1552.07,0.0,-1552.07,Failed,SAGE
SAGE_TXN_0098,O1098,2025-04-10,Refunds,8723.08,0.0,-8723.08,Failed,SAGE
SAGE_TXN_0099,O1099,2025-06-21,Receivables,8355.98,0.0,-8355.98,Pending,SAGE
SAGE_TXN_0100,O1100,2025-05-23,Refunds,6666.86,0.0,-6666.86,Failed,SAGE
SAGE_TXN_0101,O1101,2025-08-16,Receivables,3641.92,0.0,-3641.92,Pending,SAGE
SAGE_TXN_0102,O1102,2025-06-24,Receivables,2747.81,0.0,-2747.81,Pending,SAGE
SAGE_TXN_0103,O1103,2025-03-03,Receivables,6589.11,0.0,-6589.11,Pending,SAGE
SAGE_TXN_0104,O1104,2025-02-01,Online Revenue,0.0,8308.06,8308.06,Posted,SAGE
SAGE_TXN_0105,O1105,2025-05-04,Sales Revenue,0.0,4022.39,4022.39,Posted,SAGE
SAGE_TXN_0106,O1106,2025-04-27,Sales Revenue,0.0,3555.77,3555.77,Posted,SAGE
SAGE_TXN_0107,O1107,2025-01-12,Refunds,864.9,0.0,-864.9,Failed,SAGE
SAGE_TXN_0108,O1108,2025-01-12,Refunds,4256.03,0.0,-4256.03,Failed,SAGE
SAGE_TXN_0109,O1109,2025-04-28,Receivables,7110.84,0.0,-7110.84,Pending,SAGE
SAGE_TXN_0110,O1110,2025-01-31,Online Revenue,0.0,1961.35,1961.35,Posted,SAGE
SAGE_TXN_0111,O1111,2025-06-07,Refunds,5237.0,0.0,-5237.0,Failed,SAGE
SAGE_TXN_0112,O1112,2025-01-14,Receivables,8772.29,0.0,-8772.29,Pending,SAGE
SAGE_TXN_0113,O1113,2025-04-05,Sales Revenue,0.0,9049.82,9049.82,Posted,SAGE
SAGE_TXN_0114,O1114,2025-08-25,Refunds,5449.62,0.0,-5449.62,Failed,SAGE
SAGE_TXN_0115,O1115,2025-04-26,Receivables,9744.74,0.0,-9744.74,Pending,SAGE
SAGE_TXN_0116,O1116,2025-07-20,Sales Revenue,0.0,2660.38,2660.38,Posted,SAGE
SAGE_TXN_0117,O1117,2025-08-24,Online Revenue,0.0,8456.76,8456.76,Posted,SAGE
SAGE_TXN_0118,O1118,2025-03-12,Sales Revenue,0.0,6557.71,6557.71,Posted,SAGE
SAGE_TXN_0119,O1119,2025-07-03,Sales Revenue,0.0,5396.18,5396.18,Posted,SAGE
SAGE_TXN_0120,O1120,2025-06-13,Refunds,8482.69,0.0,-8482.69,Failed,SAGE
SAGE_TXN_0121,O1121,2025-06-22,Sales Revenue,0.0,9282.17,9282.17,Posted,SAGE
SAGE_TXN_0122,O1122,2025-03-31,Sales Revenue,0.0,8787.66,8787.66,Posted,SAGE
SAGE_TXN_0123,O1123,2025-07-24,Refunds,7709.62,0.0,-7709.62,Failed,SAGE
SAGE_TXN_0124,O1124,2025-05-23,Refunds,1616.11,0.0,-1616.11,Failed,SAGE
SAGE_TXN_0125,O1125,2025-03-20,Receivables,4086.89,0.0,-4086.89,Pending,SAGE
SAGE_TXN_0126,O1126,2025-01-24,Refunds,8723.11,0.0,-8723.11,Failed,SAGE
SAGE_TXN_0127,O1127,2025-04-07,Receivables,2646.94,0.0,-2646.94,Pending,SAGE
SAGE_TXN_0128,O1128,2025-07-20,Online Revenue,0.0,7617.54,7617.54,Posted,SAGE
SAGE_TXN_0129,O1129,2025-04-03,Sales Revenue,0.0,9653.93,9653.93,Posted,SAGE
SAGE_TXN_0130,O1130,2025-08-18,Refunds,2479.43,0.0,-2479.43,Failed,SAGE
SAGE_TXN_0131,O1131,2025-01-30,Sales Revenue,0.0,9095.93,9095.93,Posted,SAGE
SAGE_TXN_0132,O1132,2025-04-02,Refunds,6430.06,0.0,-6430.06,Failed,SAGE
SAGE_TXN_0133,O1133,2025-08-06,Receivables,6671.78,0.0,-6671.78,Pending,SAGE
SAGE_TXN_0134,O1134,2025-01-26,Refunds,6239.5,0.0,-6239.5,Failed,SAGE
SAGE_TXN_0135,O1135,2025-07-16,Refunds,3740.18,0.0,-3740.18,Failed,SAGE
SAGE_TXN_0136,O1136,2025-08-03,Refunds,4102.51,0.0,-4102.51,Failed,SAGE
SAGE_TXN_0137,O1137,2025-04-19,Refunds,6208.55,0.0,-6208.55,Failed,SAGE
SAGE_TXN_0138,O1138,2025-02-04,Receivables,5442.96,0.0,-5442.96,Pending,SAGE
SAGE_TXN_0139,O1139,2025-04-06,Refunds,8371.9,0.0,-8371.9,Failed,SAGE
SAGE_TXN_0140,O1140,2025-05-25,Sales Revenue,0.0,6538.83,6538.83,Posted,SAGE
SAGE_TXN_0141,O1141,2025-07-23,Receivables,2831.94,0.0,-2831.94,Pending,SAGE
SAGE_TXN_0142,O1142,2025-05-04,Receivables,8008.73,0.0,-8008.73,Pending,SAGE
SAGE_TXN_0143,O1143,2025-06-04,Online Revenue,0.0,872.13,872.13,Posted,SAGE
SAGE_TXN_0144,O1144,2025-05-26,Receivables,7598.22,0.0,-7598.22,Pending,SAGE
SAGE_TXN_0145,O1145,2025-08-05,Sales Revenue,0.0,6080.33,6080.33,Posted,SAGE
SAGE_TXN_0146,O1146,2025-08-27,Sales Revenue,0.0,4570.84,4570.84,Posted,SAGE
SAGE_TXN_0147,O1147,2025-06-23,Refunds,8775.87,0.0,-8775.87,Failed,SAGE
SAGE_TXN_0148,O1148,2025-07-04,Receivables,4227.57,0.0,-4227.57,Pending,SAGE
SAGE_TXN_0149,O1149,2025-08-03,Receivables,5558.06,0.0,-5558.06,Pending,SAGE
SAGE_TXN_0150,O1150,2025-06-08,Online Revenue,0.0,5425.6,5425.6,Posted,SAGE
SAGE_TXN_0151,O1151,2025-01-21,Sales Revenue,0.0,5365.98,5365.98,Posted,SAGE
SAGE_TXN_0152,O1152,2025-07-17,Refunds,7240.14,0.0,-7240.14,Failed,SAGE
SAGE_TXN_0153,O1153,2025-06-11,Receivables,1019.32,0.0,-1019.32,Pending,SAGE
SAGE_TXN_0154,O1154,2025-03-10,Receivables,2284.78,0.0,-2284.78,Pending,SAGE
SAGE_TXN_0155,O1155,2025-04-17,Refunds,7497.79,0.0,-7497.79,Failed,SAGE
SAGE_TXN_0156,O1156,2025-02-11,Sales Revenue,0.0,7563.27,7563.27,Posted,SAGE
SAGE_TXN_0157,O1157,2025-06-16,Receivables,6209.42,0.0,-6209.42,Pending,SAGE
SAGE_TXN_0158,O1158,2025-05-08,Receivables,5731.34,0.0,-5731.34,Pending,SAGE
SAGE_TXN_0159,O1159,2025-01-14,Receivables,2076.55,0.0,-2076.55,Pending,SAGE
SAGE_TXN_0160,O1160,2025-02-23,Refunds,6785.22,0.0,-6785.22,Failed,SAGE
SAGE_TXN_0161,O1161,2025-04-01,Receivables,3315.67,0.0,-3315.67,Pending,SAGE
SAGE_TXN_0162,O1162,2025-03-24,Receivables,8307.64,0.0,-8307.64,Pending,SAGE
SAGE_TXN_0163,O1163,2025-04-25,Sales Revenue,0.0,3046.84,3046.84,Posted,SAGE
SAGE_TXN_0164,O1164,2025-08-17,Sales Revenue,0.0,3906.2,3906.2,Posted,SAGE
SAGE_TXN_0165,O1165,2025-03-06,Receivables,3849.48,0.0,-3849.48,Pending,SAGE
SAGE_TXN_0166,O1166,2025-02-27,Receivables,3494.13,0.0,-3494.13,Pending,SAGE
SAGE_TXN_0167,O1167,2025-04-11,Sales Revenue,0.0,3354.31,3354.31,Posted,SAGE
SAGE_TXN_0168,O1168,2025-08-23,Refunds,2029.14,0.0,-2029.14,Failed,SAGE
SAGE_TXN_0169,O1169,2025-07-09,Online Revenue,0.0,5415.86,5415.86,Posted,SAGE
SAGE_TXN_0170,O1170,2025-03-01,Receivables,8323.38,0.0,-8323.38,Pending,SAGE
SAGE_TXN_0171,O1171,2025-03-03,Sales Revenue,0.0,5215.61,5215.61,Posted,SAGE
SAGE_TXN_0172,O1172,2025-07-24,Receivables,2311.66,0.0,-2311.66,Pending,SAGE
SAGE_TXN_0173,O1173,2025-02-17,Sales Revenue,0.0,2877.92,2877.92,Posted,SAGE
SAGE_TXN_0174,O1174,2025-08-05,Receivables,5767.19,0.0,-5767.19,Pending,SAGE
SAGE_TXN_0175,O1175,2025-04-26,Receivables,3237.7,0.0,-3237.7,Pending,SAGE
SAGE_TXN_0176,O1176,2025-03-25,Refunds,3137.1,0.0,-3137.1,Failed,SAGE
SAGE_TXN_0177,O1177,2025-04-21,Receivables,6330.57,0.0,-6330.57,Pending,SAGE
SAGE_TXN_0178,O1178,2025-06-23,Refunds,2608.86,0.0,-2608.86,Failed,SAGE
SAGE_TXN_0179,O1179,2025-06-25,Receivables,8785.22,0.0,-8785.22,Pending,SAGE
SAGE_TXN_0180,O1180,2025-04-19,Receivables,902.98,0.0,-902.98,Pending,SAGE
SAGE_TXN_0181,O1181,2025-07-27,Online Revenue,0.0,2940.72,2940.72,Posted,SAGE
SAGE_TXN_0182,O1182,2025-04-21,Refunds,5634.59,0.0,-5634.59,Failed,SAGE
SAGE_TXN_0183,O1183,2025-07-10,Sales Revenue,0.0,2291.84,2291.84,Posted,SAGE
SAGE_TXN_0184,O1184,2025-05-19,Sales Revenue,0.0,7710.5,7710.5,Posted,SAGE
SAGE_TXN_0185,O1185,2025-02-19,Receivables,9021.08,0.0,-9021.08,Pending,SAGE
SAGE_TXN_0186,O1186,2025-08-21,Refunds,4357.96,0.0,-4357.96,Failed,SAGE
SAGE_TXN_0187,O1187,2025-03-06,Online Revenue,0.0,5769.84,5769.84,Posted,SAGE
SAGE_TXN_0188,O1188,2025-06-05,Receivables,5666.46,0.0,-5666.46,Pending,SAGE
SAGE_TXN_0189,O1189,2025-08-09,Refunds,5326.08,0.0,-5326.08,Failed,SAGE
SAGE_TXN_0190,O1190,2025-08-16,Receivables,5373.06,0.0,-5373.06,Pending,SAGE
SAGE_TXN_0191,O1191,2025-08-10,Refunds,2693.22,0.0,-2693.22,Failed,SAGE
SAGE_TXN_0192,O1192,2025-01-01,Receivables,2499.29,0.0,-2499.29,Pending,SAGE
SAGE_TXN_0193,O1193,2025-04-04,Online Revenue,0.0,5245.27,5245.27,Posted,SAGE
SAGE_TXN_0194,O1194,2025-07-26,Refunds,9336.73,0.0,-9336.73,Failed,SAGE
SAGE_TXN_0195,O1195,2025-03-26,Receivables,7947.54,0.0,-7947.54,Pending,SAGE
SAGE_TXN_0196,O1196,2025-02-10,Sales Revenue,0.0,8545.34,8545.34,Posted,SAGE
SAGE_TXN_0197,O1197,2025-03-10,Online Revenue,0.0,5905.05,5905.05,Posted,SAGE
SAGE_TXN_0198,O1198,2025-08-09,Online Revenue,0.0,5784.29,5784.29,Posted,SAGE
SAGE_TXN_0199,O1199,2025-08-13,Receivables,5975.41,0.0,-5975.41,Pending,SAGE
SAGE_TXN_0200,O1200,2025-06-29,Sales Revenue,0.0,4770.71,4770.71,Posted,SAGE
SAGE_TXN_0201,O1201,2025-08-02,Refunds,1039.08,0.0,-1039.08,Failed,SAGE
SAGE_TXN_0202,O1202,2025-02-23,Receivables,7116.79,0.0,-7116.79,Pending,SAGE
SAGE_TXN_0203,O1203,2025-05-08,Refunds,7533.83,0.0,-7533.83,Failed,SAGE
SAGE_TXN_0204,O1204,2025-02-17,Online Revenue,0.0,6105.53,6105.53,Posted,SAGE
SAGE_TXN_0205,O1205,2025-02-10,Online Revenue,0.0,5964.97,5964.97,Posted,SAGE
SAGE_TXN_0206,O1206,2025-08-15,Online Revenue,0.0,4825.66,4825.66,Posted,SAGE
SAGE_TXN_0207,O1207,2025-03-19,Receivables,1339.33,0.0,-1339.33,Pending,SAGE
SAGE_TXN_0208,O1208,2025-04-10,Receivables,4227.84,0.0,-4227.84,Pending,SAGE
SAGE_TXN_0209,O1209,2025-02-22,Receivables,9879.44,0.0,-9879.44,Pending,SAGE
SAGE_TXN_0210,O1210,2025-05-14,Refunds,2953.01,0.0,-2953.01,Failed,SAGE
SAGE_TXN_0211,O1211,2025-07-05,Refunds,9545.25,0.0,-9545.25,Failed,SAGE
SAGE_TXN_0212,O1212,2025-07-07,Refunds,8793.4,0.0,-8793.4,Failed,SAGE
SAGE_TXN_0213,O1213,2025-08-09,Sales Revenue,0.0,6835.86,6835.86,Posted,SAGE
SAGE_TXN_0214,O1214,2025-07-04,Refunds,3591.82,0.0,-3591.82,Failed,SAGE
SAGE_TXN_0215,O1215,2025-07-09,Sales Revenue,0.0,8571.07,8571.07,Posted,SAGE
SAGE_TXN_0216,O1216,2025-08-14,Online Revenue,0.0,9851.36,9851.36,Posted,SAGE
SAGE_TXN_0217,O1217,2025-08-06,Receivables,3640.72,0.0,-3640.72,Pending,SAGE
SAGE_TXN_0218,O1218,2025-01-14,Receivables,4915.97,0.0,-4915.97,Pending,SAGE
SAGE_TXN_0219,O1219,2025-08-04,Receivables,6450.37,0.0,-6450.37,Pending,SAGE
SAGE_TXN_0220,O1220,2025-06-13,Refunds,2233.34,0.0,-2233.34,Failed,SAGE
SAGE_TXN_0221,O1221,2025-05-11,Refunds,2855.83,0.0,-2855.83,Failed,SAGE
SAGE_TXN_0222,O1222,2025-08-05,Sales Revenue,0.0,6891.07,6891.07,Posted,SAGE
SAGE_TXN_0223,O1223,2025-03-28,Receivables,9695.01,0.0,-9695.01,Pending,SAGE
SAGE_TXN_0224,O1224,2025-01-18,Refunds,7952.04,0.0,-7952.04,Failed,SAGE
SAGE_TXN_0225,O1225,2025-05-02,Refunds,2182.62,0.0,-2182.62,Failed,SAGE
SAGE_TXN_0226,O1226,2025-02-22,Sales Revenue,0.0,8253.53,8253.53,Posted,SAGE
SAGE_TXN_0227,O1227,2025-06-13,Receivables,1264.77,0.0,-1264.77,Pending,SAGE
SAGE_TXN_0228,O1228,2025-08-09,Receivables,8625.28,0.0,-8625.28,Pending,SAGE
SAGE_TXN_0229,O1229,2025-08-23,Receivables,7027.68,0.0,-7027.68,Pending,SAGE
SAGE_TXN_0230,O1230,2025-06-28,Refunds,1377.12,0.0,-1377.12,Failed,SAGE
SAGE_TXN_0231,O1231,2025-01-08,Refunds,7683.19,0.0,-7683.19,Failed,SAGE
SAGE_TXN_0232,O1232,2025-02-03,Online Revenue,0.0,726.45,726.45,Posted,SAGE
SAGE_TXN_0233,O1233,2025-01-10,Receivables,1743.31,0.0,-1743.31,Pending,SAGE
SAGE_TXN_0234,O1234,2025-08-10,Online Revenue,0.0,5776.88,5776.88,Posted,SAGE
SAGE_TXN_0235,O1235,2025-08-21,Online Revenue,0.0,8580.92,8580.92,Posted,SAGE
SAGE_TXN_0236,O1236,2025-01-29,Receivables,9324.39,0.0,-9324.39,Pending,SAGE
SAGE_TXN_0237,O1237,2025-01-12,Refunds,9152.71,0.0,-9152.71,Failed,SAGE
SAGE_TXN_0238,O1238,2025-03-01,Refunds,2976.33,0.0,-2976.33,Failed,SAGE
SAGE_TXN_0239,O1239,2025-03-18,Refunds,2428.75,0.0,-2428.75,Failed,SAGE
SAGE_TXN_0240,O1240,2025-06-10,Refunds,1501.89,0.0,-1501.89,Failed,SAGE
SAGE_TXN_0241,O1241,2025-03-12,Receivables,3293.84,0.0,-3293.84,Pending,SAGE
SAGE_TXN_0242,O1242,2025-04-15,Sales Revenue,0.0,8786.33,8786.33,Posted,SAGE
SAGE_TXN_0243,O1243,2025-02-15,Refunds,3307.11,0.0,-3307.11,Failed,SAGE
SAGE_TXN_0244,O1244,2025-08-18,Receivables,6431.07,0.0,-6431.07,Pending,SAGE
SAGE_TXN_0245,O1245,2025-06-05,Receivables,5283.44,0.0,-5283.44,Pending,SAGE
SAGE_TXN_0246,O1246,2025-05-14,Refunds,5830.83,0.0,-5830.83,Failed,SAGE
SAGE_TXN_0247,O1247,2025-07-28,Sales Revenue,0.0,3674.95,3674.95,Posted,SAGE
SAGE_TXN_0248,O1248,2025-05-09,Online Revenue,0.0,3159.91,3159.91,Posted,SAGE
SAGE_TXN_0249,O1249,2025-08-17,Receivables,7980.54,0.0,-7980.54,Pending,SAGE
SAGE_TXN_0250,O1250,2025-03-04,Refunds,587.03,0.0,-587.03,Failed,SAGE
SAGE_TXN_0251,O1251,2025-04-18,Receivables,1796.92,0.0,-1796.92,Pending,SAGE
SAGE_TXN_0252,O1252,2025-05-04,Refunds,6975.75,0.0,-6975.75,Failed,SAGE
SAGE_TXN_0253,O1253,2025-04-02,Online Revenue,0.0,5629.85,5629.85,Posted,SAGE
SAGE_TXN_0254,O1254,2025-01-11,Receivables,5930.9,0.0,-5930.9,Pending,SAGE
SAGE_TXN_0255,O1255,2025-03-02,Online Revenue,0.0,6297.66,6297.66,Posted,SAGE
SAGE_TXN_0256,O1256,2025-02-26,Receivables,5733.04,0.0,-5733.04,Pending,SAGE
SAGE_TXN_0257,O1257,2025-02-20,Online Revenue,0.0,6325.51,6325.51,Posted,SAGE
SAGE_TXN_0258,O1258,2025-05-05,Online Revenue,0.0,8739.59,8739.59,Posted,SAGE
SAGE_TXN_0259,O1259,2025-04-15,Receivables,3645.85,0.0,-3645.85,Pending,SAGE
SAGE_TXN_0260,O1260,2025-08-27,Refunds,2511.5,0.0,-2511.5,Failed,SAGE
SAGE_TXN_0261,O1261,2025-06-15,Online Revenue,0.0,5228.62,5228.62,Posted,SAGE
SAGE_TXN_0262,O1262,2025-08-16,Refunds,3806.73,0.0,-3806.73,Failed,SAGE
SAGE_TXN_0263,O1263,2025-06-10,Refunds,8683.0,0.0,-8683.0,Failed,SAGE
SAGE_TXN_0264,O1264,2025-05-25,Receivables,8823.54,0.0,-8823.54,Pending,SAGE
SAGE_TXN_0265,O1265,2025-08-10,Receivables,7628.93,0.0,-7628.93,Pending,SAGE
