payment_id,user_id,amount,payment_date
P00099,U00952,49.0,2025-04-12
P00100,U00291,49.0,2026-04-08
P00101,U00612,199.0,2025-09-18
P00102,U00961,-99.0,2025-06-04
P00103,U00316,,2025-10-01
P00104,U00607,,2026-01-24
P00105,U00269,,2025-08-14
P00106,U00232,49.0,2025-10-18
P00107,U00482,-99.0,2025-09-18
P00108,U00847,499.0,2025-10-11
P00109,U00839,199.0,2025-04-18
P00110,U00204,-99.0,2025-06-26
P00111,U00443,-99.0,2025-04-05
P00112,U00235,499.0,2025-02-08
P00113,U00077,,2026-02-09
P00114,U00726,499.0,2025-07-10
P00115,U00885,,2025-09-02
P00116,U00403,99.0,2025-11-28
P00117,U00605,199.0,2025-04-18
P00118,U00682,99.0,2026-01-11
P00119,U00089,49.0,2025-06-10
P00120,U00750,,2026-01-04
P00121,U00096,99.0,2025-01-18
P00122,U00772,99.0,2026-03-07
P00123,U00491,199.0,2026-01-11
P00124,U00435,499.0,2025-06-04
P00125,U00620,-99.0,2025-10-11
P00126,U00591,199.0,2025-11-11
P00127,U00696,199.0,2025-08-03
P00128,U00156,-99.0,2025-08-22
P00129,U00382,49.0,2025-05-15
P00130,U00239,199.0,2025-03-18
P00131,U00528,,2025-08-10
P00132,U00748,499.0,2026-03-03
P00133,U00065,-99.0,2025-03-21
P00134,U00719,,2025-02-27
P00135,U00011,99.0,2026-02-17
P00136,U00636,,2025-10-26
P00137,U00778,199.0,2025-09-09
P00138,U00140,99.0,2025-11-10
P00139,U00197,199.0,2025-06-19
P00140,U00208,99.0,2025-12-28
P00141,U00426,,2025-01-08
P00142,U00668,,2025-06-21
P00143,U00225,499.0,2025-11-17
P00144,U00880,-99.0,2026-04-13
P00145,U00723,-99.0,2025-06-28
P00146,U00968,499.0,2026-02-23
P00147,U00045,199.0,2025-05-05
P00148,U00005,,2025-03-11
P00149,U00919,,2026-01-21
P00150,U00215,-99.0,2025-07-03
P00151,U00952,199.0,2025-06-13
P00152,U00068,199.0,2025-09-24
P00153,U00068,-99.0,2026-02-24
P00154,U00806,49.0,2025-05-28
P00155,U00466,,2025-10-19
P00156,U00137,,2026-04-27
P00157,U00135,49.0,2025-08-05
P00158,U00810,49.0,2026-04-22
P00159,U00643,49.0,2025-10-17
P00160,U00047,,2025-12-28
P00161,U00054,49.0,2026-04-16
P00162,U00754,99.0,2025-08-27
P00163,U00511,99.0,2025-12-28
P00164,U00024,-99.0,2025-08-16
P00165,U00069,49.0,2025-05-20
P00166,U00956,49.0,2026-04-06
P00167,U00188,199.0,2025-12-01
P00168,U00243,-99.0,2025-04-18
P00169,U00596,,2025-09-10
P00170,U00288,499.0,2026-01-09
P00171,U00592,199.0,2025-11-02
P00172,U00444,99.0,2025-05-07
P00173,U00507,199.0,2025-07-04
P00174,U00543,99.0,2025-03-26
P00175,U00040,199.0,2025-04-07
P00176,U00314,99.0,2025-07-12
P00177,U00272,-99.0,2025-04-25
P00178,U00019,,2025-03-19
P00179,U00301,99.0,2025-11-08
P00180,U00041,-99.0,2025-12-07
P00181,U00223,49.0,2025-07-08
P00182,U00777,,2026-04-18
P00183,U00147,,2025-08-14
P00184,U00931,99.0,2025-05-16
P00185,U00457,-99.0,2026-02-14
P00186,U00100,-99.0,2025-10-21
P00187,U00029,99.0,2025-03-08
P00188,U00299,,2026-04-11
P00189,U00798,-99.0,2025-05-30
P00190,U00590,99.0,2025-09-07
P00191,U00032,499.0,2026-02-20
P00192,U00706,499.0,2025-05-22
P00193,U00275,99.0,2025-12-08
P00194,U00962,49.0,2025-10-07
P00195,U00282,199.0,2025-05-29
P00196,U00276,49.0,2025-12-04
P00197,U00203,499.0,2025-02-13
P00198,U00058,,2026-01-21
P00199,U00228,499.0,2025-10-19
P00200,U00935,,2025-06-23
P00201,U00644,499.0,2026-03-01
P00202,U00085,,2026-01-29
P00203,U00170,-99.0,2025-03-20
P00204,U00069,499.0,2026-03-18
P00205,U00211,199.0,2025-04-07
P00206,U00863,199.0,2026-03-19
P00207,U00766,199.0,2026-02-28
P00208,U00919,-99.0,2026-03-11
P00209,U00082,49.0,2026-02-23
P00210,U00395,499.0,2026-01-20
P00211,U00939,199.0,2026-02-20
P00212,U00980,499.0,2025-11-13
P00213,U00956,99.0,2025-09-06
P00214,U00051,-99.0,2025-03-02
P00215,U00032,499.0,2025-06-05
P00216,U00963,99.0,2025-10-18
P00217,U00324,-99.0,2026-03-17
P00218,U00343,49.0,2025-03-09
P00219,U00733,99.0,2025-07-30
P00220,U00443,,2025-03-26
P00221,U00236,499.0,2025-05-19
P00222,U00058,199.0,2025-01-18
P00223,U00758,499.0,2025-10-20
P00224,U00664,199.0,2025-06-15
P00225,U00488,199.0,2025-11-22
P00226,U00466,49.0,2026-03-19
P00227,U00872,199.0,2025-11-28
P00228,U00545,,2025-08-25
P00229,U00981,499.0,2025-01-10
P00230,U00815,,2025-12-18
P00231,U00039,499.0,2025-10-26
P00232,U00209,199.0,2025-02-21
P00233,U00472,199.0,2026-01-13
P00234,U00103,99.0,2025-07-27
P00235,U00995,-99.0,2025-05-06
P00236,U00069,-99.0,2025-11-17
P00237,U01000,99.0,2026-02-21
P00238,U00145,99.0,2025-12-14
P00239,U00610,-99.0,2025-06-23
P00240,U00126,99.0,2025-12-31
P00241,U00545,,2025-04-22
P00242,U00792,199.0,2026-01-29
P00243,U00209,49.0,2025-10-13
P00244,U00322,199.0,2025-09-13
P00245,U00449,199.0,2025-02-06
P00246,U00780,,2026-03-13
P00247,U00340,199.0,2025-08-17
P00248,U00211,-99.0,2026-02-13
P00249,U00671,,2025-03-06
P00250,U00264,-99.0,2025-05-19
P00251,U00216,199.0,2025-09-27
P00252,U00682,49.0,2025-09-12
P00253,U00148,99.0,2026-02-04
P00254,U00796,49.0,2025-11-29
P00255,U00505,199.0,2025-01-06
P00256,U00260,49.0,2026-02-14
P00257,U00688,49.0,2026-03-24
P00258,U00689,,2025-03-16
P00259,U00531,49.0,2025-11-13
P00260,U00308,499.0,2025-10-27
P00261,U00948,99.0,2025-12-15
P00262,U00843,,2025-05-12
P00263,U00871,99.0,2026-02-03
P00264,U00005,199.0,2025-02-03
P00265,U00663,499.0,2025-08-20
P00266,U00544,199.0,2026-03-21
P00267,U00183,499.0,2025-04-14
P00268,U00475,99.0,2025-02-01
P00269,U00147,99.0,2025-06-20
P00270,U00350,99.0,2025-04-08
P00271,U00505,99.0,2025-04-10
P00272,U00084,199.0,2025-09-13
P00273,U00918,49.0,2025-04-05
P00274,U00611,-99.0,2025-05-12
P00275,U00086,199.0,2026-01-31
P00276,U00006,-99.0,2025-02-21
P00277,U00763,99.0,2025-07-29
P00278,U00098,49.0,2026-02-27
P00279,U00256,99.0,2025-09-08
P00280,U00239,-99.0,2025-11-10
P00281,U00147,49.0,2025-02-23
P00282,U00448,49.0,2025-02-23
P00283,U00263,49.0,2025-06-02
P00284,U00948,99.0,2025-01-28
P00285,U00267,199.0,2025-06-29
P00286,U00866,,2026-04-11
P00287,U00457,499.0,2025-12-09
P00288,U00921,99.0,2025-04-15
P00289,U00741,,2025-03-08
P00290,U00210,99.0,2025-07-18
P00291,U00720,,2025-01-16
P00292,U00620,49.0,2025-08-15
P00293,U00245,49.0,2026-02-08
P00294,U00059,-99.0,2025-01-25
P00295,U00604,199.0,2025-07-09
P00296,U00063,99.0,2025-07-11
P00297,U00273,-99.0,2025-03-26
P00298,U00811,-99.0,2026-03-15
P00299,U00668,499.0,2025-11-28
P00300,U00299,499.0,2025-11-19
P00301,U00092,199.0,2025-06-13
P00302,U00893,,2025-12-23
P00303,U00238,499.0,2025-06-09
P00304,U00915,49.0,2025-01-31
P00305,U00237,49.0,2025-03-03
P00306,U00744,,2025-12-05
P00307,U00882,,2025-02-19
P00308,U00678,99.0,2025-06-12
P00309,U00758,-99.0,2025-11-06
P00310,U00755,99.0,2026-02-08
P00311,U00145,499.0,2025-11-21
P00312,U00068,199.0,2025-11-07
P00313,U00353,499.0,2025-12-28
P00314,U00402,-99.0,2025-08-02
P00315,U00815,99.0,2026-01-26
P00316,U00757,199.0,2025-05-26
P00317,U00675,,2025-01-04
P00318,U00231,499.0,2025-04-06
P00319,U00304,49.0,2025-10-02
P00320,U00624,499.0,2026-04-06
P00321,U00725,99.0,2025-04-28
P00322,U00024,99.0,2026-02-10
P00323,U00469,49.0,2026-04-22
P00324,U00722,199.0,2025-05-05
P00325,U00110,49.0,2025-01-20
P00326,U00521,99.0,2026-02-10
P00327,U00948,99.0,2025-05-22
P00328,U00361,49.0,2025-03-30
P00329,U00733,199.0,2026-03-18
P00330,U00858,-99.0,2025-02-17
P00331,U00188,-99.0,2025-09-23
P00332,U00488,,2026-05-02
P00333,U00222,-99.0,2025-05-20
P00334,U00301,199.0,2025-02-10
P00335,U00279,-99.0,2026-01-22
P00336,U00905,99.0,2025-02-23
P00337,U00555,-99.0,2026-04-30
P00338,U00345,499.0,2025-02-14
P00339,U00395,,2026-01-29
P00340,U00954,-99.0,2025-12-06
P00341,U00492,49.0,2025-12-15
P00342,U00809,,2025-04-01
P00343,U00316,199.0,2025-05-27
P00344,U00239,99.0,2025-10-14
P00345,U00137,-99.0,2026-04-29
P00346,U00339,199.0,2025-07-06
P00347,U00561,99.0,2025-12-04
P00348,U00411,99.0,2025-08-26
P00349,U00077,199.0,2025-10-07
P00350,U00574,99.0,2026-02-13
P00351,U00700,-99.0,2025-12-18
P00352,U00417,49.0,2026-01-24
P00353,U00836,49.0,2025-09-24
P00354,U00356,49.0,2025-04-06
P00355,U00114,499.0,2026-03-18
P00356,U00506,49.0,2025-12-25
P00357,U00812,99.0,2025-01-28
P00358,U00357,199.0,2025-05-09
P00359,U00799,199.0,2025-12-01
P00360,U00578,199.0,2025-01-09
P00361,U00409,199.0,2026-04-17
P00362,U00384,49.0,2025-03-13
P00363,U00334,-99.0,2025-02-23
P00364,U00642,199.0,2025-05-25
P00365,U00348,199.0,2025-03-17
P00366,U00183,49.0,2026-05-05
P00367,U00254,199.0,2026-04-03
P00368,U00021,,2025-06-05
P00369,U00001,49.0,2025-02-03
P00370,U00644,99.0,2026-01-25
P00371,U00917,199.0,2025-11-05
P00372,U00625,499.0,2025-07-21
P00373,U00162,99.0,2025-05-12
P00374,U00358,,2025-07-15
P00375,U00566,,2025-09-09
P00376,U00525,,2026-03-17
P00377,U00711,49.0,2025-12-03
P00378,U00867,,2025-01-13
P00379,U00327,199.0,2026-05-09
P00380,U00026,199.0,2025-08-13
P00381,U00514,-99.0,2025-06-07
P00382,U00643,99.0,2025-10-27
P00383,U00184,-99.0,2025-04-07
P00384,U00882,-99.0,2025-03-09
P00385,U00515,199.0,2026-03-03
P00386,U00887,,2026-04-21
P00387,U00229,-99.0,2025-08-31
P00388,U00899,49.0,2025-04-22
P00389,U00508,199.0,2025-01-07
P00390,U00897,,2026-03-17
P00391,U00465,499.0,2025-11-25
P00392,U00169,499.0,2026-04-15
P00393,U00600,-99.0,2025-01-07
P00394,U00857,-99.0,2025-09-14
P00395,U00677,49.0,2025-01-08
P00396,U00586,49.0,2025-03-01
P00397,U00822,499.0,2026-03-12
P00398,U00415,99.0,2025-12-18
P00399,U00395,,2025-05-04
P00400,U00740,499.0,2026-04-14
P00401,U00521,-99.0,2025-04-04
P00402,U00656,49.0,2025-01-21
P00403,U00097,,2025-01-08
P00404,U00862,-99.0,2025-02-17
P00405,U00974,-99.0,2025-06-07
P00406,U00019,-99.0,2026-02-02
P00407,U00196,,2026-01-06
P00408,U00424,-99.0,2025-06-17
P00409,U00113,99.0,2025-05-24
P00410,U00620,-99.0,2025-03-25
P00411,U00507,99.0,2025-05-20
P00412,U00609,99.0,2025-11-19
P00413,U00587,,2025-06-08
P00414,U00267,499.0,2026-02-14
P00415,U00675,199.0,2025-12-18
P00416,U00212,,2025-10-31
P00417,U00609,199.0,2025-05-25
P00418,U00890,-99.0,2026-01-03
P00419,U00735,-99.0,2026-02-28
P00420,U00680,499.0,2026-04-13
P00421,U00538,49.0,2026-02-21
P00422,U00293,-99.0,2026-03-29
P00423,U00072,49.0,2025-11-05
P00424,U00922,49.0,2026-04-19
P00425,U00356,499.0,2025-06-26
P00426,U00305,499.0,2025-04-29
P00427,U00426,199.0,2025-02-13
P00428,U00890,-99.0,2025-11-13
P00429,U00762,499.0,2025-07-29
P00430,U00652,199.0,2026-04-06
P00431,U00382,199.0,2025-11-26
P00432,U00283,,2025-04-25
P00433,U00430,,2026-03-12
P00434,U00800,499.0,2025-02-26
P00435,U00051,499.0,2025-09-03
P00436,U00009,49.0,2025-09-02
P00437,U00459,49.0,2025-02-10
P00438,U00523,49.0,2026-01-08
P00439,U00188,99.0,2025-05-17
P00440,U00703,199.0,2025-12-11
P00441,U00427,499.0,2025-06-20
P00442,U00575,-99.0,2025-02-04
P00443,U00184,99.0,2025-11-27
P00444,U00560,499.0,2025-02-12
P00445,U00606,499.0,2025-04-06
P00446,U00465,499.0,2026-02-09
P00447,U00624,499.0,2025-07-24
P00448,U00484,-99.0,2026-02-03
P00449,U00288,49.0,2025-12-07
P00450,U00157,99.0,2025-02-27
P00451,U00987,199.0,2025-07-12
P00452,U00109,49.0,2025-11-11
P00453,U00983,,2025-04-26
P00454,U00225,199.0,2026-05-10
P00455,U00548,199.0,2025-07-24
P00456,U00228,499.0,2025-01-29
P00457,U00944,,2025-01-21
P00458,U00279,,2025-05-15
P00459,U00721,499.0,2025-05-19
P00460,U00782,,2025-02-18
P00461,U00827,-99.0,2025-09-30
P00462,U00880,,2025-12-23
P00463,U00016,-99.0,2025-02-06
P00464,U00899,199.0,2026-05-06
P00465,U00983,499.0,2026-03-16
P00466,U00319,99.0,2026-02-26
P00467,U00608,,2025-03-28
P00468,U00100,49.0,2025-10-28
P00469,U00189,49.0,2025-04-16
P00470,U00228,49.0,2025-11-12
P00471,U00113,-99.0,2025-12-21
P00472,U00054,499.0,2025-09-08
P00473,U00967,499.0,2025-05-12
P00474,U00386,-99.0,2026-01-01
P00475,U00967,49.0,2025-04-14
P00476,U00815,-99.0,2025-01-01
P00477,U00487,,2026-04-11
P00478,U00359,499.0,2026-04-11
P00479,U00833,49.0,2025-02-16
P00480,U00225,-99.0,2025-12-04
P00481,U00926,,2025-11-18
P00482,U00590,49.0,2025-12-08
P00483,U00803,,2025-06-06
P00484,U00753,49.0,2025-07-29
P00485,U00150,499.0,2026-05-01
P00486,U00500,199.0,2026-01-26
P00487,U00604,49.0,2025-08-15
P00488,U00286,,2026-03-02
P00489,U00372,199.0,2025-05-28
P00490,U00423,-99.0,2025-02-10
P00491,U00802,199.0,2025-11-03
P00492,U00818,199.0,2025-08-14
P00493,U00898,499.0,2025-11-14
P00494,U00422,99.0,2025-06-30
P00495,U00525,499.0,2025-08-04
P00496,U00697,499.0,2025-04-10
P00497,U00753,49.0,2025-05-09
P00498,U00748,-99.0,2025-08-10
P00499,U00811,,2026-04-25
P00500,U00395,,2025-02-19
P00131,U00528,,2025-08-10
P00292,U00620,49.0,2025-08-15
P00038,U00183,49.0,2025-11-28
P00240,U00126,99.0,2025-12-31
P00192,U00706,499.0,2025-05-22
P00421,U00538,49.0,2026-02-21
P00324,U00722,199.0,2025-05-05
P00028,U00124,-99.0,2025-06-18
P00212,U00980,499.0,2025-11-13
P00485,U00150,499.0,2026-05-01
