TimesheetID,EmployeeID,ProjectID,Date,HoursWorked,BillableHours,NonBillableHours,TaskCategory,Status
TS0192,E102,P005,2026-01-20,10,8,2,Analysis,Approved
TS0193,E103,P004,2026-01-20,9,9,0,Testing,Submitted
TS0194,E104,P003,2026-01-20,6,4,2,Development,Pending
TS0195,E105,P005,2026-01-20,7,5,2,Analysis,Submitted
TS0196,E106,P003,2026-01-20,6,4,2,Reporting,Approved
TS0197,E107,P003,2026-01-20,6,6,0,Development,Approved
TS0198,E108,P002,2026-01-20,7,5,2,Training,Approved
TS0199,E109,P003,2026-01-20,10,7,3,Documentation,Approved
TS0200,E110,P003,2026-01-20,8,7,1,Reporting,Submitted
TS0201,E101,P004,2026-01-21,6,4,2,Reporting,Submitted
TS0202,E102,P005,2026-01-21,6,4,2,Documentation,Approved
TS0203,E103,P003,2026-01-21,9,7,2,Documentation,Approved
TS0204,E104,P004,2026-01-21,10,8,2,Architecture,Pending
TS0205,E105,P003,2026-01-21,9,6,3,Reporting,Approved
TS0206,E106,P002,2026-01-21,10,10,0,Architecture,Approved
TS0207,E107,P001,2026-01-21,8,7,1,Reporting,Approved
TS0208,E108,P004,2026-01-21,7,4,3,Reporting,Approved
TS0209,E109,P001,2026-01-21,7,7,0,Support,Approved
TS0210,E110,P001,2026-01-21,6,6,0,ETL Development,Approved
TS0211,E101,P002,2026-01-22,8,5,3,Documentation,Submitted
TS0212,E102,P002,2026-01-22,6,6,0,Development,Submitted
TS0213,E103,P005,2026-01-22,7,6,1,Architecture,Approved
TS0214,E104,P002,2026-01-22,6,5,1,Testing,Submitted
TS0215,E105,P001,2026-01-22,9,8,1,Support,Approved
TS0216,E106,P004,2026-01-22,10,10,0,Reporting,Approved
TS0217,E107,P002,2026-01-22,8,8,0,Development,Pending
TS0218,E108,P005,2026-01-22,9,8,1,Training,Submitted
TS0219,E109,P003,2026-01-22,10,10,0,ETL Development,Submitted
TS0220,E110,P004,2026-01-22,7,4,3,ETL Development,Approved
TS0221,E101,P004,2026-01-23,9,8,1,Analysis,Approved
TS0222,E102,P005,2026-01-23,8,6,2,Training,Submitted
TS0223,E103,P001,2026-01-23,7,7,0,Analysis,Approved
TS0224,E104,P004,2026-01-23,9,6,3,Documentation,Approved
TS0225,E105,P001,2026-01-23,6,4,2,Training,Approved
TS0226,E106,P003,2026-01-23,7,5,2,Development,Approved
TS0227,E107,P003,2026-01-23,8,7,1,Support,Approved
TS0228,E108,P001,2026-01-23,9,6,3,Architecture,Submitted
TS0229,E109,P001,2026-01-23,6,6,0,Support,Pending
TS0230,E110,P001,2026-01-23,8,5,3,Testing,Approved
TS0231,E101,P002,2026-01-24,8,7,1,Architecture,Approved
TS0232,E102,P001,2026-01-24,8,8,0,Training,Approved
TS0233,E103,P005,2026-01-24,9,6,3,Support,Approved
TS0234,E104,P005,2026-01-24,7,7,0,Training,Approved
TS0235,E105,P001,2026-01-24,9,9,0,Training,Approved
TS0236,E106,P002,2026-01-24,6,5,1,Analysis,Pending
TS0237,E107,P003,2026-01-24,7,4,3,Development,Pending
TS0238,E108,P005,2026-01-24,10,10,0,Support,Submitted
TS0239,E109,P004,2026-01-24,6,4,2,Development,Approved
TS0240,E110,P005,2026-01-24,8,8,0,Support,Submitted
TS0241,E101,P003,2026-01-25,10,10,0,Development,Pending
TS0242,E102,P003,2026-01-25,7,7,0,Reporting,Pending
TS0243,E103,P001,2026-01-25,10,9,1,Analysis,Approved
TS0244,E104,P005,2026-01-25,8,8,0,Reporting,Approved
TS0245,E105,P002,2026-01-25,9,7,2,Testing,Approved
TS0246,E106,P004,2026-01-25,9,8,1,Analysis,Approved
TS0247,E107,P003,2026-01-25,9,6,3,Architecture,Approved
TS0248,E108,P003,2026-01-25,8,5,3,Reporting,Approved
TS0249,E109,P003,2026-01-25,10,7,3,Development,Approved
TS0250,E110,P002,2026-01-25,9,6,3,Reporting,Approved
