posting_id,invoice_id,ledger_account,debit_amount,credit_amount,posting_status
GL00060,INV00060,Sales Revenue,0,3333,Posted
GL00061,INV00061,Sales Revenue,0,1834,Posted
GL00062,INV00062,Sales Revenue,0,2064,Posted
GL00063,INV00063,Sales Revenue,0,1782,Posted
GL00064,INV00064,Refunds,768,0,Failed
GL00065,INV00065,Sales Revenue,0,4373,Posted
GL00066,INV00066,Sales Revenue,0,2912,Posted
GL00067,INV00067,Receivables,1662,0,Pending
GL00068,INV00068,Receivables,1088,0,Pending
GL00069,INV00069,Sales Revenue,0,2769,Posted
GL00070,INV00070,Sales Revenue,0,1147,Posted
GL00071,INV00071,Sales Revenue,0,2286,Posted
GL00072,INV00072,Sales Revenue,0,213,Posted
GL00073,INV00073,Sales Revenue,0,1814,Posted
GL00074,INV00074,Receivables,2904,0,Pending
GL00075,INV00075,Refunds,1220,0,Failed
GL00076,INV00076,Receivables,2733,0,Pending
GL00077,INV00077,Receivables,3496,0,Pending
GL00078,INV00078,Sales Revenue,0,1242,Posted
GL00079,INV00079,Receivables,3305,0,Pending
GL00080,INV00080,Sales Revenue,0,4862,Posted
GL00081,INV00081,Sales Revenue,0,203,Posted
GL00082,INV00082,Receivables,3721,0,Pending
GL00083,INV00083,Sales Revenue,0,2839,Posted
GL00084,INV00084,Sales Revenue,0,1950,Posted
GL00085,INV00085,Sales Revenue,0,894,Posted
GL00086,INV00086,Sales Revenue,0,2945,Posted
GL00087,INV00087,Sales Revenue,0,2742,Posted
GL00088,INV00088,Sales Revenue,0,400,Posted
GL00089,INV00089,Sales Revenue,0,796,Posted
GL00090,INV00090,Sales Revenue,0,4915,Posted
GL00091,INV00091,Sales Revenue,0,3345,Posted
GL00092,INV00092,Receivables,1408,0,Pending
GL00093,INV00093,Refunds,1073,0,Failed
GL00094,INV00094,Receivables,1640,0,Pending
GL00095,INV00095,Receivables,611,0,Pending
GL00096,INV00096,Sales Revenue,0,3939,Posted
GL00097,INV00097,Receivables,4551,0,Pending
GL00098,INV00098,Receivables,3825,0,Pending
GL00099,INV00099,Receivables,3695,0,Pending
GL00100,INV00100,Sales Revenue,0,4088,Posted
GL00101,INV00101,Refunds,2471,0,Failed
GL00102,INV00102,Receivables,4169,0,Pending
GL00103,INV00103,Sales Revenue,0,3803,Posted
GL00104,INV00104,Sales Revenue,0,2120,Posted
GL00105,INV00105,Sales Revenue,0,4624,Posted
GL00106,INV00106,Sales Revenue,0,2094,Posted
GL00107,INV00107,Sales Revenue,0,1952,Posted
GL00108,INV00108,Sales Revenue,0,2910,Posted
GL00109,INV00109,Sales Revenue,0,710,Posted
GL00110,INV00110,Receivables,4984,0,Pending
GL00111,INV00111,Sales Revenue,0,3316,Posted
GL00112,INV00112,Refunds,2646,0,Failed
GL00113,INV00113,Refunds,4609,0,Failed
GL00114,INV00114,Sales Revenue,0,2006,Posted
GL00115,INV00115,Sales Revenue,0,3770,Posted
GL00116,INV00116,Receivables,2953,0,Pending
GL00117,INV00117,Sales Revenue,0,1552,Posted
GL00118,INV00118,Sales Revenue,0,4575,Posted
GL00119,INV00119,Receivables,4823,0,Pending
GL00120,INV00120,Sales Revenue,0,3711,Posted
GL00121,INV00121,Sales Revenue,0,611,Posted
GL00122,INV00122,Sales Revenue,0,1933,Posted
GL00123,INV00123,Sales Revenue,0,3305,Posted
GL00124,INV00124,Sales Revenue,0,2266,Posted
GL00125,INV00125,Sales Revenue,0,4618,Posted
GL00126,INV00126,Refunds,762,0,Failed
GL00127,INV00127,Sales Revenue,0,454,Posted
GL00128,INV00128,Sales Revenue,0,1448,Posted
GL00129,INV00129,Receivables,1137,0,Pending
GL00130,INV00130,Refunds,2299,0,Failed
GL00131,INV00131,Refunds,1138,0,Failed
GL00132,INV00132,Receivables,1085,0,Pending
GL00133,INV00133,Receivables,4916,0,Pending
GL00134,INV00134,Sales Revenue,0,1824,Posted
GL00135,INV00135,Sales Revenue,0,2189,Posted
GL00136,INV00136,Receivables,1191,0,Pending
GL00137,INV00137,Sales Revenue,0,4564,Posted
GL00138,INV00138,Sales Revenue,0,764,Posted
GL00139,INV00139,Sales Revenue,0,303,Posted
GL00140,INV00140,Sales Revenue,0,3751,Posted
GL00141,INV00141,Sales Revenue,0,1453,Posted
GL00142,INV00142,Receivables,2412,0,Pending
GL00143,INV00143,Sales Revenue,0,4008,Posted
GL00144,INV00144,Sales Revenue,0,2398,Posted
GL00145,INV00145,Sales Revenue,0,2484,Posted
GL00146,INV00146,Receivables,4868,0,Pending
GL00147,INV00147,Sales Revenue,0,2955,Posted
GL00148,INV00148,Sales Revenue,0,1689,Posted
GL00149,INV00149,Sales Revenue,0,2316,Posted
GL00150,INV00150,Receivables,2463,0,Pending
GL00151,INV00151,Sales Revenue,0,1765,Posted
GL00152,INV00152,Receivables,4202,0,Pending
GL00153,INV00153,Receivables,4100,0,Pending
GL00154,INV00154,Sales Revenue,0,3871,Posted
GL00155,INV00155,Sales Revenue,0,2015,Posted
GL00156,INV00156,Receivables,2708,0,Pending
GL00157,INV00157,Receivables,4076,0,Pending
GL00158,INV00158,Refunds,3685,0,Failed
GL00159,INV00159,Receivables,3082,0,Pending
GL00160,INV00160,Sales Revenue,0,2711,Posted
GL00161,INV00161,Sales Revenue,0,1777,Posted
GL00162,INV00162,Sales Revenue,0,1716,Posted
GL00163,INV00163,Refunds,2465,0,Failed
GL00164,INV00164,Sales Revenue,0,2518,Posted
GL00165,INV00165,Sales Revenue,0,2063,Posted
GL00166,INV00166,Refunds,315,0,Failed
GL00167,INV00167,Sales Revenue,0,2447,Posted
GL00168,INV00168,Receivables,2593,0,Pending
GL00169,INV00169,Sales Revenue,0,4221,Posted
GL00170,INV00170,Sales Revenue,0,2529,Posted
GL00171,INV00171,Sales Revenue,0,2991,Posted
GL00172,INV00172,Sales Revenue,0,4113,Posted
GL00173,INV00173,Sales Revenue,0,4228,Posted
GL00174,INV00174,Sales Revenue,0,639,Posted
GL00175,INV00175,Sales Revenue,0,2689,Posted
GL00176,INV00176,Refunds,4771,0,Failed
GL00177,INV00177,Refunds,2048,0,Failed
GL00178,INV00178,Sales Revenue,0,3890,Posted
GL00179,INV00179,Sales Revenue,0,3712,Posted
GL00180,INV00180,Receivables,693,0,Pending
GL00181,INV00181,Receivables,1902,0,Pending
GL00182,INV00182,Sales Revenue,0,865,Posted
GL00183,INV00183,Sales Revenue,0,4721,Posted
GL00184,INV00184,Sales Revenue,0,3546,Posted
GL00185,INV00185,Sales Revenue,0,4049,Posted
GL00186,INV00186,Refunds,2560,0,Failed
GL00187,INV00187,Sales Revenue,0,3919,Posted
GL00188,INV00188,Receivables,2367,0,Pending
GL00189,INV00189,Sales Revenue,0,1820,Posted
GL00190,INV00190,Receivables,2041,0,Pending
GL00191,INV00191,Sales Revenue,0,1365,Posted
GL00192,INV00192,Receivables,2719,0,Pending
GL00193,INV00193,Sales Revenue,0,2564,Posted
GL00194,INV00194,Receivables,2691,0,Pending
GL00195,INV00195,Sales Revenue,0,4299,Posted
GL00196,INV00196,Receivables,858,0,Pending
GL00197,INV00197,Receivables,2840,0,Pending
GL00198,INV00198,Sales Revenue,0,948,Posted
GL00199,INV00199,Refunds,369,0,Failed
GL00200,INV00200,Sales Revenue,0,4920,Posted
GL00201,INV00201,Sales Revenue,0,4054,Posted
GL00202,INV00202,Sales Revenue,0,2478,Posted
GL00203,INV00203,Sales Revenue,0,4228,Posted
GL00204,INV00204,Sales Revenue,0,3545,Posted
GL00205,INV00205,Sales Revenue,0,1056,Posted
GL00206,INV00206,Sales Revenue,0,4258,Posted
GL00207,INV00207,Sales Revenue,0,4706,Posted
GL00208,INV00208,Sales Revenue,0,2776,Posted
GL00209,INV00209,Sales Revenue,0,3511,Posted
GL00210,INV00210,Sales Revenue,0,4644,Posted
GL00211,INV00211,Sales Revenue,0,1736,Posted
GL00212,INV00212,Receivables,4283,0,Pending
GL00213,INV00213,Sales Revenue,0,1867,Posted
GL00214,INV00214,Sales Revenue,0,2559,Posted
GL00215,INV00215,Sales Revenue,0,1194,Posted
GL00216,INV00216,Refunds,2160,0,Failed
GL00217,INV00217,Sales Revenue,0,4712,Posted
GL00218,INV00218,Sales Revenue,0,963,Posted
GL00219,INV00219,Receivables,1162,0,Pending
GL00220,INV00220,Sales Revenue,0,2590,Posted
GL00221,INV00221,Sales Revenue,0,3603,Posted
GL00222,INV00222,Receivables,3941,0,Pending
GL00223,INV00223,Receivables,1761,0,Pending
GL00224,INV00224,Sales Revenue,0,771,Posted
GL00225,INV00225,Sales Revenue,0,2984,Posted
GL00226,INV00226,Refunds,2517,0,Failed
GL00227,INV00227,Receivables,4950,0,Pending
GL00228,INV00228,Sales Revenue,0,3858,Posted
GL00229,INV00229,Receivables,2923,0,Pending
GL00230,INV00230,Sales Revenue,0,3290,Posted
GL00231,INV00231,Receivables,2156,0,Pending
GL00232,INV00232,Sales Revenue,0,3565,Posted
GL00233,INV00233,Sales Revenue,0,3323,Posted
GL00234,INV00234,Sales Revenue,0,1446,Posted
GL00235,INV00235,Receivables,4314,0,Pending
GL00236,INV00236,Sales Revenue,0,3806,Posted
GL00237,INV00237,Refunds,325,0,Failed
GL00238,INV00238,Sales Revenue,0,1464,Posted
GL00239,INV00239,Receivables,2973,0,Pending
GL00240,INV00240,Sales Revenue,0,857,Posted
GL00241,INV00241,Sales Revenue,0,3313,Posted
GL00242,INV00242,Sales Revenue,0,4632,Posted
GL00243,INV00243,Receivables,2123,0,Pending
GL00244,INV00244,Refunds,2063,0,Failed
GL00245,INV00245,Refunds,1006,0,Failed
GL00246,INV00246,Sales Revenue,0,1023,Posted
GL00247,INV00247,Sales Revenue,0,2653,Posted
GL00248,INV00248,Sales Revenue,0,659,Posted
GL00249,INV00249,Sales Revenue,0,3728,Posted
GL00250,INV00250,Receivables,3575,0,Pending
GL00251,INV00251,Sales Revenue,0,1592,Posted
GL00252,INV00252,Receivables,3333,0,Pending
GL00253,INV00253,Receivables,4276,0,Pending
GL00254,INV00254,Receivables,3977,0,Pending
GL00255,INV00255,Receivables,2291,0,Pending
GL00256,INV00256,Receivables,2556,0,Pending
GL00257,INV00257,Sales Revenue,0,805,Posted
GL00258,INV00258,Receivables,2650,0,Pending
GL00259,INV00259,Sales Revenue,0,2248,Posted
GL00260,INV00260,Sales Revenue,0,3351,Posted
GL00261,INV00261,Receivables,3324,0,Pending
GL00262,INV00262,Receivables,2623,0,Pending
GL00263,INV00263,Sales Revenue,0,3442,Posted
GL00264,INV00264,Receivables,601,0,Pending
GL00265,INV00265,Refunds,2544,0,Failed
GL00266,INV00266,Sales Revenue,0,3086,Posted
GL00267,INV00267,Receivables,2253,0,Pending
GL00268,INV00268,Receivables,1320,0,Pending
GL00269,INV00269,Sales Revenue,0,522,Posted
GL00270,INV00270,Sales Revenue,0,4947,Posted
GL00271,INV00271,Sales Revenue,0,938,Posted
GL00272,INV00272,Sales Revenue,0,1638,Posted
GL00273,INV00273,Sales Revenue,0,3197,Posted
GL00274,INV00274,Sales Revenue,0,1547,Posted
GL00275,INV00275,Sales Revenue,0,2974,Posted
GL00276,INV00276,Refunds,1353,0,Failed
GL00277,INV00277,Receivables,3455,0,Pending
GL00278,INV00278,Sales Revenue,0,3432,Posted
GL00279,INV00279,Sales Revenue,0,1212,Posted
GL00280,INV00280,Receivables,2347,0,Pending
GL00281,INV00281,Sales Revenue,0,3243,Posted
GL00282,INV00282,Sales Revenue,0,4062,Posted
GL00283,INV00283,Receivables,2887,0,Pending
GL00284,INV00284,Receivables,717,0,Pending
GL00285,INV00285,Receivables,2675,0,Pending
GL00286,INV00286,Sales Revenue,0,1345,Posted
GL00287,INV00287,Sales Revenue,0,4235,Posted
GL00288,INV00288,Sales Revenue,0,4603,Posted
GL00289,INV00289,Receivables,3239,0,Pending
GL00290,INV00290,Sales Revenue,0,4625,Posted
GL00291,INV00291,Receivables,3598,0,Pending
GL00292,INV00292,Sales Revenue,0,3543,Posted
GL00293,INV00293,Sales Revenue,0,3235,Posted
GL00294,INV00294,Sales Revenue,0,2134,Posted
GL00295,INV00295,Sales Revenue,0,3209,Posted
GL00296,INV00296,Sales Revenue,0,696,Posted
GL00297,INV00297,Sales Revenue,0,1200,Posted
GL00298,INV00298,Receivables,1937,0,Pending
GL00299,INV00299,Sales Revenue,0,374,Posted
GL00300,INV00300,Receivables,1231,0,Pending
GL00301,INV00301,Sales Revenue,0,4740,Posted
GL00302,INV00302,Sales Revenue,0,2108,Posted
GL00303,INV00303,Sales Revenue,0,223,Posted
GL00304,INV00304,Sales Revenue,0,4625,Posted
GL00305,INV00305,Sales Revenue,0,411,Posted
GL00306,INV00306,Receivables,2149,0,Pending
GL00307,INV00307,Sales Revenue,0,1627,Posted
GL00308,INV00308,Sales Revenue,0,3648,Posted
GL00309,INV00309,Sales Revenue,0,4101,Posted
GL00310,INV00310,Receivables,4404,0,Pending
GL00311,INV00311,Sales Revenue,0,4327,Posted
GL00312,INV00312,Sales Revenue,0,4471,Posted
GL00313,INV00313,Sales Revenue,0,455,Posted
GL00314,INV00314,Receivables,3692,0,Pending
GL00315,INV00315,Sales Revenue,0,3833,Posted
GL00316,INV00316,Sales Revenue,0,1415,Posted
GL00317,INV00317,Receivables,4995,0,Pending
GL00318,INV00318,Receivables,3320,0,Pending
GL00319,INV00319,Sales Revenue,0,3916,Posted
GL00320,INV00320,Receivables,1012,0,Pending
GL00321,INV00321,Refunds,4716,0,Failed
GL00322,INV00322,Sales Revenue,0,3899,Posted
GL00323,INV00323,Sales Revenue,0,3915,Posted
GL00324,INV00324,Sales Revenue,0,2760,Posted
GL00325,INV00325,Sales Revenue,0,2288,Posted
GL00326,INV00326,Sales Revenue,0,4085,Posted
GL00327,INV00327,Sales Revenue,0,963,Posted
GL00328,INV00328,Receivables,1265,0,Pending
GL00329,INV00329,Receivables,4800,0,Pending
GL00330,INV00330,Sales Revenue,0,1201,Posted
GL00331,INV00331,Refunds,3664,0,Failed
GL00332,INV00332,Sales Revenue,0,2759,Posted
GL00333,INV00333,Sales Revenue,0,4356,Posted
GL00334,INV00334,Sales Revenue,0,4150,Posted
GL00335,INV00335,Sales Revenue,0,4756,Posted
GL00336,INV00336,Sales Revenue,0,4903,Posted
GL00337,INV00337,Sales Revenue,0,4760,Posted
GL00338,INV00338,Sales Revenue,0,2390,Posted
GL00339,INV00339,Sales Revenue,0,2731,Posted
GL00340,INV00340,Sales Revenue,0,1686,Posted
GL00341,INV00341,Sales Revenue,0,3483,Posted
GL00342,INV00342,Sales Revenue,0,451,Posted
GL00343,INV00343,Sales Revenue,0,1962,Posted
GL00344,INV00344,Sales Revenue,0,2992,Posted
GL00345,INV00345,Refunds,2857,0,Failed
GL00346,INV00346,Sales Revenue,0,895,Posted
GL00347,INV00347,Receivables,607,0,Pending
GL00348,INV00348,Receivables,3829,0,Pending
GL00349,INV00349,Sales Revenue,0,3821,Posted
GL00350,INV00350,Sales Revenue,0,4397,Posted
GL00351,INV00351,Sales Revenue,0,1108,Posted
GL00352,INV00352,Sales Revenue,0,4186,Posted
GL00353,INV00353,Sales Revenue,0,572,Posted
GL00354,INV00354,Sales Revenue,0,648,Posted
GL00355,INV00355,Refunds,1930,0,Failed
GL00356,INV00356,Sales Revenue,0,2571,Posted
GL00357,INV00357,Refunds,4274,0,Failed
GL00358,INV00358,Sales Revenue,0,1258,Posted
GL00359,INV00359,Sales Revenue,0,2085,Posted
GL00360,INV00360,Sales Revenue,0,3101,Posted
GL00361,INV00361,Sales Revenue,0,3773,Posted
GL00362,INV00362,Receivables,2764,0,Pending
GL00363,INV00363,Refunds,3513,0,Failed
GL00364,INV00364,Sales Revenue,0,2571,Posted
GL00365,INV00365,Sales Revenue,0,2860,Posted
GL00366,INV00366,Sales Revenue,0,3164,Posted
GL00367,INV00367,Sales Revenue,0,2193,Posted
GL00368,INV00368,Sales Revenue,0,4492,Posted
GL00369,INV00369,Sales Revenue,0,2981,Posted
GL00370,INV00370,Sales Revenue,0,825,Posted
GL00371,INV00371,Sales Revenue,0,4546,Posted
GL00372,INV00372,Refunds,3076,0,Failed
GL00373,INV00373,Sales Revenue,0,2135,Posted
GL00374,INV00374,Sales Revenue,0,1816,Posted
GL00375,INV00375,Sales Revenue,0,817,Posted
GL00376,INV00376,Sales Revenue,0,4247,Posted
GL00377,INV00377,Sales Revenue,0,4947,Posted
GL00378,INV00378,Receivables,2847,0,Pending
GL00379,INV00379,Sales Revenue,0,3802,Posted
GL00380,INV00380,Sales Revenue,0,2680,Posted
GL00381,INV00381,Sales Revenue,0,3083,Posted
GL00382,INV00382,Sales Revenue,0,3982,Posted
GL00383,INV00383,Sales Revenue,0,3220,Posted
GL00384,INV00384,Receivables,939,0,Pending
GL00385,INV00385,Sales Revenue,0,3349,Posted
GL00386,INV00386,Sales Revenue,0,536,Posted
GL00387,INV00387,Sales Revenue,0,1742,Posted
GL00388,INV00388,Sales Revenue,0,4307,Posted
GL00389,INV00389,Sales Revenue,0,1047,Posted
GL00390,INV00390,Receivables,4333,0,Pending
GL00391,INV00391,Refunds,2229,0,Failed
GL00392,INV00392,Sales Revenue,0,4493,Posted
GL00393,INV00393,Sales Revenue,0,3181,Posted
GL00394,INV00394,Refunds,3548,0,Failed
GL00395,INV00395,Receivables,628,0,Pending
GL00396,INV00396,Sales Revenue,0,739,Posted
GL00397,INV00397,Sales Revenue,0,3366,Posted
GL00398,INV00398,Sales Revenue,0,1431,Posted
GL00399,INV00399,Sales Revenue,0,1358,Posted
GL00400,INV00400,Sales Revenue,0,3410,Posted
GL00401,INV00401,Receivables,2736,0,Pending
GL00402,INV00402,Sales Revenue,0,2890,Posted
GL00403,INV00403,Sales Revenue,0,4512,Posted
GL00404,INV00404,Sales Revenue,0,3668,Posted
GL00405,INV00405,Sales Revenue,0,3170,Posted
GL00406,INV00406,Refunds,2999,0,Failed
GL00407,INV00407,Sales Revenue,0,2055,Posted
GL00408,INV00408,Sales Revenue,0,2623,Posted
GL00409,INV00409,Sales Revenue,0,4513,Posted
GL00410,INV00410,Receivables,1273,0,Pending
GL00411,INV00411,Sales Revenue,0,1529,Posted
GL00412,INV00412,Refunds,1556,0,Failed
GL00413,INV00413,Sales Revenue,0,3565,Posted
GL00414,INV00414,Receivables,3838,0,Pending
GL00415,INV00415,Sales Revenue,0,2116,Posted
GL00416,INV00416,Sales Revenue,0,4042,Posted
GL00417,INV00417,Sales Revenue,0,4872,Posted
GL00418,INV00418,Sales Revenue,0,3328,Posted
GL00419,INV00419,Sales Revenue,0,1527,Posted
GL00420,INV00420,Sales Revenue,0,2248,Posted
GL00421,INV00421,Receivables,3240,0,Pending
GL00422,INV00422,Sales Revenue,0,1221,Posted
GL00423,INV00423,Sales Revenue,0,2434,Posted
GL00424,INV00424,Sales Revenue,0,3783,Posted
GL00425,INV00425,Sales Revenue,0,3063,Posted
GL00426,INV00426,Sales Revenue,0,3447,Posted
GL00427,INV00427,Sales Revenue,0,3363,Posted
GL00428,INV00428,Sales Revenue,0,430,Posted
GL00429,INV00429,Sales Revenue,0,2946,Posted
GL00430,INV00430,Sales Revenue,0,2550,Posted
GL00431,INV00431,Sales Revenue,0,4042,Posted
GL00432,INV00432,Sales Revenue,0,849,Posted
GL00433,INV00433,Receivables,1424,0,Pending
GL00434,INV00434,Sales Revenue,0,4523,Posted
GL00435,INV00435,Sales Revenue,0,2146,Posted
GL00436,INV00436,Sales Revenue,0,2153,Posted
GL00437,INV00437,Sales Revenue,0,3944,Posted
GL00438,INV00438,Sales Revenue,0,4591,Posted
GL00439,INV00439,Sales Revenue,0,4910,Posted
GL00440,INV00440,Sales Revenue,0,2586,Posted
GL00441,INV00441,Sales Revenue,0,3090,Posted
GL00442,INV00442,Receivables,1734,0,Pending
GL00443,INV00443,Sales Revenue,0,4488,Posted
GL00444,INV00444,Sales Revenue,0,4657,Posted
GL00445,INV00445,Sales Revenue,0,366,Posted
GL00446,INV00446,Sales Revenue,0,3369,Posted
GL00447,INV00447,Sales Revenue,0,3125,Posted
GL00448,INV00448,Refunds,1049,0,Failed
GL00449,INV00449,Sales Revenue,0,1292,Posted
GL00450,INV00450,Receivables,2973,0,Pending
GL00451,INV00451,Receivables,4006,0,Pending
GL00452,INV00452,Sales Revenue,0,1693,Posted
GL00453,INV00453,Sales Revenue,0,502,Posted
GL00454,INV00454,Sales Revenue,0,1834,Posted
GL00455,INV00455,Sales Revenue,0,4422,Posted
GL00456,INV00456,Sales Revenue,0,2275,Posted
GL00457,INV00457,Sales Revenue,0,1765,Posted
GL00458,INV00458,Sales Revenue,0,2919,Posted
GL00459,INV00459,Sales Revenue,0,3779,Posted
GL00460,INV00460,Sales Revenue,0,3367,Posted
GL00461,INV00461,Sales Revenue,0,4275,Posted
GL00462,INV00462,Refunds,876,0,Failed
GL00463,INV00463,Receivables,3727,0,Pending
GL00464,INV00464,Sales Revenue,0,2606,Posted
GL00465,INV00465,Receivables,2886,0,Pending
GL00466,INV00466,Receivables,3852,0,Pending
GL00467,INV00467,Receivables,1565,0,Pending
GL00468,INV00468,Sales Revenue,0,3862,Posted
GL00469,INV00469,Sales Revenue,0,3763,Posted
GL00470,INV00470,Receivables,814,0,Pending
GL00471,INV00471,Sales Revenue,0,3176,Posted
GL00472,INV00472,Sales Revenue,0,1510,Posted
GL00473,INV00473,Sales Revenue,0,3789,Posted
GL00474,INV00474,Refunds,2133,0,Failed
GL00475,INV00475,Sales Revenue,0,3166,Posted
GL00476,INV00476,Receivables,1456,0,Pending
GL00477,INV00477,Sales Revenue,0,3247,Posted
GL00478,INV00478,Sales Revenue,0,4901,Posted
GL00479,INV00479,Sales Revenue,0,3460,Posted
GL00480,INV00480,Sales Revenue,0,2244,Posted
GL00481,INV00481,Sales Revenue,0,4288,Posted
GL00482,INV00482,Sales Revenue,0,1164,Posted
GL00483,INV00483,Sales Revenue,0,3855,Posted
GL00484,INV00484,Sales Revenue,0,4223,Posted
GL00485,INV00485,Sales Revenue,0,806,Posted
GL00486,INV00486,Receivables,919,0,Pending
GL00487,INV00487,Refunds,3046,0,Failed
GL00488,INV00488,Sales Revenue,0,4641,Posted
GL00489,INV00489,Sales Revenue,0,1626,Posted
GL00490,INV00490,Sales Revenue,0,1194,Posted
GL00491,INV00491,Sales Revenue,0,4247,Posted
GL00492,INV00492,Sales Revenue,0,4888,Posted
GL00493,INV00493,Receivables,1263,0,Pending
GL00494,INV00494,Sales Revenue,0,2733,Posted
GL00495,INV00495,Sales Revenue,0,4506,Posted
GL00496,INV00496,Sales Revenue,0,4909,Posted
GL00497,INV00497,Sales Revenue,0,807,Posted
GL00498,INV00498,Sales Revenue,0,4438,Posted
GL00499,INV00499,Refunds,1690,0,Failed
GL00500,INV00500,Sales Revenue,0,4319,Posted
GL00501,INV00501,Sales Revenue,0,1453,Posted
GL00502,INV00502,Refunds,2843,0,Failed
GL00503,INV00503,Sales Revenue,0,4450,Posted
GL00504,INV00504,Receivables,1808,0,Pending
GL00505,INV00505,Receivables,1225,0,Pending
GL00506,INV00506,Sales Revenue,0,4570,Posted
GL00507,INV00507,Receivables,1581,0,Pending
GL00508,INV00508,Receivables,1602,0,Pending
GL00509,INV00509,Receivables,2965,0,Pending
GL00510,INV00510,Sales Revenue,0,865,Posted
GL00511,INV00511,Receivables,2368,0,Pending
GL00512,INV00512,Receivables,3612,0,Pending
GL00513,INV00513,Receivables,4279,0,Pending
GL00514,INV00514,Sales Revenue,0,2674,Posted
GL00515,INV00515,Sales Revenue,0,3526,Posted
GL00516,INV00516,Sales Revenue,0,690,Posted
GL00517,INV00517,Sales Revenue,0,4166,Posted
GL00518,INV00518,Sales Revenue,0,1376,Posted
GL00519,INV00519,Sales Revenue,0,3029,Posted
GL00520,INV00520,Receivables,4418,0,Pending
GL00521,INV00521,Sales Revenue,0,2180,Posted
GL00522,INV00522,Sales Revenue,0,3883,Posted
GL00523,INV00523,Sales Revenue,0,614,Posted
GL00524,INV00524,Sales Revenue,0,3625,Posted
GL00525,INV00525,Refunds,4932,0,Failed
GL00526,INV00526,Sales Revenue,0,1505,Posted
GL00527,INV00527,Sales Revenue,0,4285,Posted
GL00528,INV00528,Sales Revenue,0,937,Posted
GL00529,INV00529,Sales Revenue,0,2172,Posted
GL00530,INV00530,Sales Revenue,0,598,Posted
GL00531,INV00531,Sales Revenue,0,4055,Posted
GL00532,INV00532,Sales Revenue,0,1080,Posted
GL00533,INV00533,Refunds,3196,0,Failed
GL00534,INV00534,Sales Revenue,0,570,Posted
GL00535,INV00535,Sales Revenue,0,4802,Posted
GL00536,INV00536,Sales Revenue,0,2564,Posted
GL00537,INV00537,Refunds,3889,0,Failed
