ticket_id,customer_id,agent_id,created_date,resolved_date,issue_type,priority,ticket_status,resolution_time_hours
T00039,78,A007,2025-01-04,2025-01-04,Payment Failure,Low,Closed,6.0
T00040,19,A004,2025-08-28,2025-08-30,Wrong Product,Medium,Closed,64.0
T00041,39,A002,2025-03-03,,Late Delivery,High,Pending,
T00042,57,A006,2025-01-18,,Payment Failure,Medium,Open,
T00043,36,A007,2025-08-02,,Late Delivery,High,Open,
T00044,18,A001,2025-07-21,,Payment Failure,Medium,Open,
T00045,69,A002,2025-07-09,,Damaged Product,High,Open,
T00046,60,A005,2025-05-08,,Login Issue,Medium,Open,
T00047,30,A002,2025-08-13,,Login Issue,Low,Open,
T00048,62,A003,2025-03-22,,Damaged Product,Low,Pending,
T00049,80,A005,2025-06-02,,Wrong Product,High,Open,
T00050,3,A005,2025-06-14,,Login Issue,Low,Open,
T00051,73,A006,2025-05-20,,Late Delivery,Medium,Pending,
T00052,95,A004,2025-04-19,,Refund Request,Low,Open,
T00053,11,A008,2025-02-12,,Damaged Product,Low,Pending,
T00054,73,A003,2025-01-15,,Late Delivery,Medium,Pending,
T00055,26,A005,2025-01-10,,Login Issue,Medium,Pending,
T00056,4,A006,2025-08-19,,Payment Failure,High,Pending,
T00057,43,A003,2025-01-06,,Refund Request,Low,Open,
T00058,86,A004,2025-08-07,2025-08-08,Late Delivery,Medium,Closed,39.0
T00059,37,A005,2025-08-20,,Damaged Product,High,Pending,
T00060,57,A001,2025-07-16,,Wrong Product,High,Pending,
T00061,88,A004,2025-04-23,2025-04-26,Wrong Product,Medium,Closed,72.0
T00062,75,A002,2025-05-23,2025-05-25,Payment Failure,High,Closed,52.0
T00063,1,A003,2025-09-01,2025-09-03,Login Issue,Low,Closed,52.0
T00064,32,A005,2025-02-16,2025-02-17,Damaged Product,Low,Closed,32.0
T00065,26,A002,2025-06-07,,Login Issue,Medium,Pending,
T00066,58,A005,2025-07-23,,Login Issue,High,Pending,
T00067,2,A003,2025-04-11,2025-04-13,Damaged Product,Low,Closed,54.0
T00068,77,A008,2025-09-06,2025-09-08,Late Delivery,High,Closed,68.0
T00069,24,A004,2025-05-02,2025-05-02,Damaged Product,High,Closed,1.0
T00070,75,A004,2025-01-28,2025-01-28,Wrong Product,Medium,Closed,17.0
T00071,91,A005,2025-07-01,,Refund Request,Medium,Pending,
T00072,39,A007,2025-04-29,2025-04-30,Payment Failure,High,Closed,36.0
T00073,60,A002,2025-09-04,,Late Delivery,Low,Pending,
T00074,31,A005,2025-07-13,,Damaged Product,High,Open,
T00075,28,A001,2025-02-22,,Damaged Product,Medium,Open,
T00076,31,A005,2025-03-04,2025-03-06,Login Issue,High,Closed,53.0
T00077,12,A006,2025-03-20,2025-03-23,Wrong Product,Low,Closed,92.0
T00078,89,A004,2025-04-27,,Damaged Product,Low,Open,
T00079,55,A007,2025-03-20,,Refund Request,High,Pending,
T00080,11,A003,2025-01-17,,Refund Request,Low,Pending,
T00081,1,A006,2025-05-23,2025-05-23,Damaged Product,Low,Closed,22.0
T00082,49,A001,2025-07-21,,Damaged Product,High,Open,
T00083,33,A007,2025-08-22,,Payment Failure,Low,Open,
T00084,32,A007,2025-03-13,,Late Delivery,Medium,Open,
T00085,45,A004,2025-01-19,,Wrong Product,Low,Open,
T00086,34,A006,2025-05-11,,Wrong Product,Low,Open,
T00087,51,A005,2025-03-05,2025-03-07,Damaged Product,Low,Closed,51.0
T00088,75,A003,2025-03-25,,Payment Failure,High,Pending,
T00089,75,A003,2025-07-05,,Damaged Product,Medium,Pending,
T00090,94,A004,2025-01-14,,Wrong Product,Low,Open,
T00091,60,A005,2025-06-14,,Login Issue,Low,Open,
T00092,45,A005,2025-08-26,,Late Delivery,Medium,Pending,
T00093,2,A008,2025-04-14,,Late Delivery,Medium,Pending,
T00094,45,A004,2025-08-10,,Refund Request,High,Open,
T00095,60,A006,2025-07-01,,Wrong Product,Medium,Open,
T00096,58,A004,2025-06-13,,Payment Failure,Medium,Pending,
T00097,57,A001,2025-07-27,,Damaged Product,Medium,Pending,
T00098,87,A001,2025-08-09,,Payment Failure,High,Open,
T00099,6,A004,2025-03-09,,Damaged Product,Low,Pending,
T00100,24,A008,2025-07-24,,Login Issue,Low,Open,
T00101,86,A006,2025-08-17,2025-08-17,Late Delivery,Medium,Closed,18.0
T00102,56,A007,2025-07-22,2025-07-24,Login Issue,Medium,Closed,67.0
T00103,41,A007,2025-02-02,2025-02-03,Refund Request,Low,Closed,40.0
T00104,7,A006,2025-07-15,,Login Issue,Low,Pending,
T00105,97,A006,2025-03-19,,Payment Failure,Medium,Pending,
T00106,70,A005,2025-03-11,,Refund Request,Low,Pending,
T00107,80,A003,2025-05-28,2025-05-28,Wrong Product,Medium,Closed,4.0
T00108,28,A008,2025-07-08,2025-07-10,Login Issue,High,Closed,51.0
T00109,75,A008,2025-02-22,,Wrong Product,Low,Pending,
T00110,38,A003,2025-01-01,,Login Issue,Medium,Open,
T00111,17,A007,2025-07-27,,Damaged Product,Low,Pending,
T00112,86,A007,2025-03-14,2025-03-16,Wrong Product,Medium,Closed,52.0
T00113,57,A007,2025-04-07,,Damaged Product,Low,Open,
T00114,85,A002,2025-07-18,,Late Delivery,High,Open,
T00115,72,A005,2025-03-14,,Payment Failure,High,Open,
T00116,87,A006,2025-01-13,,Refund Request,High,Pending,
T00117,95,A008,2025-03-10,2025-03-11,Damaged Product,High,Closed,32.0
T00118,46,A005,2025-08-17,,Payment Failure,High,Open,
T00119,98,A004,2025-02-27,2025-03-02,Refund Request,Low,Closed,91.0
T00120,10,A005,2025-02-10,2025-02-13,Refund Request,Low,Closed,90.0
T00121,56,A003,2025-03-01,2025-03-02,Login Issue,High,Closed,39.0
T00122,16,A002,2025-06-16,2025-06-17,Payment Failure,Medium,Closed,43.0
T00123,59,A005,2025-03-17,,Late Delivery,Low,Open,
T00124,68,A006,2025-05-09,2025-05-09,Login Issue,High,Closed,5.0
T00125,35,A001,2025-03-08,2025-03-08,Login Issue,Low,Closed,3.0
T00126,84,A001,2025-06-21,,Refund Request,Low,Open,
T00127,6,A007,2025-05-28,2025-05-30,Payment Failure,Medium,Closed,55.0
T00128,40,A008,2025-08-12,,Late Delivery,Medium,Open,
T00129,6,A002,2025-02-06,,Payment Failure,Medium,Open,
T00130,28,A006,2025-04-18,2025-04-20,Damaged Product,Low,Closed,56.0
T00131,15,A008,2025-07-07,,Payment Failure,Low,Pending,
T00132,100,A005,2025-08-15,,Payment Failure,High,Open,
T00133,29,A007,2025-02-24,,Login Issue,Medium,Pending,
T00134,27,A006,2025-06-08,,Late Delivery,Low,Open,
T00135,26,A006,2025-03-10,2025-03-13,Damaged Product,Medium,Closed,88.0
T00136,19,A006,2025-03-25,2025-03-26,Damaged Product,High,Closed,37.0
T00137,96,A001,2025-07-29,,Login Issue,High,Pending,
T00138,79,A007,2025-01-29,,Damaged Product,High,Open,
T00139,77,A004,2025-03-24,2025-03-26,Refund Request,Medium,Closed,55.0
T00140,52,A003,2025-02-25,,Wrong Product,Medium,Open,
T00141,87,A006,2025-02-15,,Refund Request,Low,Pending,
T00142,10,A006,2025-06-04,2025-06-04,Login Issue,Low,Closed,17.0
T00143,92,A003,2025-07-25,2025-07-25,Refund Request,High,Closed,3.0
T00144,34,A008,2025-05-28,,Wrong Product,Medium,Pending,
T00145,94,A001,2025-08-29,2025-08-31,Damaged Product,High,Closed,53.0
T00146,56,A005,2025-05-16,,Login Issue,Medium,Pending,
T00147,96,A005,2025-05-07,2025-05-09,Refund Request,Medium,Closed,71.0
T00148,23,A004,2025-04-18,2025-04-18,Refund Request,Medium,Closed,10.0
T00149,71,A007,2025-08-13,,Wrong Product,High,Pending,
T00150,58,A005,2025-06-11,2025-06-12,Damaged Product,Medium,Closed,47.0
T00151,80,A003,2025-06-18,,Login Issue,Medium,Open,
T00152,70,A003,2025-06-27,,Wrong Product,High,Open,
T00153,26,A005,2025-01-20,2025-01-23,Login Issue,Medium,Closed,78.0
T00154,40,A001,2025-07-30,2025-07-31,Late Delivery,Medium,Closed,38.0
T00155,56,A006,2025-07-15,2025-07-18,Late Delivery,High,Closed,88.0
T00156,91,A005,2025-04-14,,Damaged Product,Medium,Pending,
T00157,30,A008,2025-08-24,,Damaged Product,Low,Open,
T00158,39,A002,2025-09-05,,Payment Failure,Medium,Open,
T00159,49,A006,2025-03-24,,Payment Failure,Medium,Open,
T00160,98,A003,2025-01-14,,Refund Request,High,Open,
T00161,33,A002,2025-07-05,2025-07-08,Login Issue,Low,Closed,78.0
T00162,22,A007,2025-05-20,2025-05-23,Wrong Product,High,Closed,74.0
T00163,17,A005,2025-06-24,,Late Delivery,Medium,Open,
T00164,69,A007,2025-02-15,,Wrong Product,Low,Open,
T00165,51,A007,2025-05-24,2025-05-25,Wrong Product,Medium,Closed,37.0
T00166,67,A008,2025-03-30,2025-04-01,Damaged Product,Medium,Closed,62.0
T00167,82,A001,2025-03-24,2025-03-26,Wrong Product,Low,Closed,68.0
T00168,83,A005,2025-02-05,,Login Issue,Medium,Pending,
T00169,56,A007,2025-05-28,2025-05-30,Login Issue,Medium,Closed,52.0
T00170,9,A007,2025-02-14,2025-02-15,Login Issue,High,Closed,46.0
T00171,40,A004,2025-07-05,,Login Issue,High,Open,
T00172,7,A005,2025-05-06,2025-05-07,Payment Failure,High,Closed,30.0
T00173,92,A006,2025-01-03,2025-01-06,Wrong Product,Low,Closed,73.0
T00174,9,A004,2025-05-22,2025-05-22,Refund Request,High,Closed,13.0
T00175,6,A002,2025-01-09,,Login Issue,High,Pending,
T00176,67,A005,2025-08-30,,Wrong Product,Low,Pending,
T00177,75,A007,2025-02-01,,Wrong Product,Medium,Pending,
T00178,89,A001,2025-07-15,,Payment Failure,Low,Open,
T00179,82,A005,2025-07-27,2025-07-27,Payment Failure,Low,Closed,6.0
T00180,11,A006,2025-03-09,,Late Delivery,High,Open,
T00181,71,A005,2025-07-01,,Damaged Product,Medium,Open,
T00182,67,A004,2025-09-08,,Late Delivery,Low,Open,
T00183,47,A006,2025-09-05,2025-09-05,Late Delivery,Low,Closed,6.0
T00184,85,A006,2025-08-27,2025-08-28,Refund Request,Medium,Closed,37.0
T00185,91,A006,2025-04-25,2025-04-25,Refund Request,Medium,Closed,2.0
T00186,78,A004,2025-01-29,,Refund Request,High,Pending,
T00187,81,A004,2025-04-13,2025-04-16,Refund Request,High,Closed,84.0
T00188,36,A002,2025-01-17,,Late Delivery,Low,Open,
T00189,99,A004,2025-05-18,,Login Issue,Low,Pending,
T00190,60,A001,2025-04-04,,Wrong Product,Medium,Open,
T00191,57,A005,2025-06-23,2025-06-25,Payment Failure,Medium,Closed,49.0
T00192,67,A006,2025-06-13,,Refund Request,Medium,Pending,
T00193,27,A001,2025-06-05,2025-06-08,Late Delivery,High,Closed,76.0
T00194,26,A005,2025-05-13,2025-05-13,Damaged Product,Low,Closed,23.0
T00195,25,A002,2025-07-29,,Damaged Product,Low,Open,
T00196,4,A002,2025-04-12,,Login Issue,Medium,Pending,
T00197,3,A002,2025-02-23,2025-02-27,Login Issue,Medium,Closed,96.0
T00198,93,A003,2025-07-18,,Payment Failure,High,Open,
T00199,50,A005,2025-08-04,2025-08-04,Wrong Product,High,Closed,17.0
T00200,30,A004,2025-05-08,,Login Issue,High,Open,
