invoice_id,customer_id,invoice_date,invoice_amount,invoice_status
INV00334,C020,2025-06-18,4150,Posted
INV00335,C014,2025-03-31,4756,Posted
INV00336,C015,2025-03-13,4903,Posted
INV00337,C055,2025-05-24,4760,Posted
INV00338,C078,2025-06-18,2390,Posted
INV00339,C024,2025-03-11,2731,Posted
INV00340,C045,2025-01-02,1686,Posted
INV00341,C073,2025-06-18,3483,Posted
INV00342,C019,2025-06-12,451,Posted
INV00343,C096,2025-05-16,1962,Posted
INV00344,C054,2025-04-27,2992,Posted
INV00345,C048,2025-03-21,2857,Failed
INV00346,C073,2025-06-02,895,Posted
INV00347,C020,2025-02-10,607,Pending
INV00348,C011,2025-03-11,3829,Pending
INV00349,C055,2025-05-05,3821,Posted
INV00350,C035,2025-02-25,4397,Posted
INV00351,C045,2025-04-21,1108,Posted
INV00352,C087,2025-06-23,4186,Posted
INV00353,C086,2025-03-20,572,Posted
INV00354,C051,2025-06-03,648,Posted
INV00355,C027,2025-03-19,1930,Failed
INV00356,C018,2025-03-07,2571,Posted
INV00357,C016,2025-01-02,4274,Failed
INV00358,C056,2025-02-14,1258,Posted
INV00359,C069,2025-06-30,2085,Posted
INV00360,C072,2025-06-21,3101,Posted
INV00361,C051,2025-01-11,3773,Posted
INV00362,C059,2025-01-20,2764,Pending
INV00363,C055,2025-05-27,3513,Failed
INV00364,C082,2025-04-17,2571,Posted
INV00365,C052,2025-01-06,2860,Posted
INV00366,C080,2025-04-28,3164,Posted
INV00367,C056,2025-01-28,2193,Posted
INV00368,C076,2025-04-13,4492,Posted
INV00369,C051,2025-03-21,2981,Posted
INV00370,C043,2025-02-13,825,Posted
INV00371,C082,2025-01-30,4546,Posted
INV00372,C025,2025-03-31,3076,Failed
INV00373,C083,2025-02-07,2135,Posted
INV00374,C019,2025-03-07,1816,Posted
INV00375,C078,2025-02-09,817,Posted
INV00376,C099,2025-06-10,4247,Posted
INV00377,C097,2025-05-25,4947,Posted
INV00378,C088,2025-05-25,2847,Pending
INV00379,C041,2025-02-08,3802,Posted
INV00380,C061,2025-04-24,2680,Posted
INV00381,C076,2025-01-15,3083,Posted
INV00382,C010,2025-03-21,3982,Posted
INV00383,C005,2025-01-15,3220,Posted
INV00384,C010,2025-06-15,939,Pending
INV00385,C077,2025-05-10,3349,Posted
INV00386,C075,2025-05-22,536,Posted
INV00387,C074,2025-06-16,1742,Posted
INV00388,C078,2025-05-02,4307,Posted
INV00389,C008,2025-04-26,1047,Posted
INV00390,C092,2025-01-22,4333,Pending
INV00391,C023,2025-01-11,2229,Failed
INV00392,C057,2025-04-23,4493,Posted
INV00393,C079,2025-02-10,3181,Posted
INV00394,C037,2025-04-10,3548,Failed
INV00395,C044,2025-06-23,628,Pending
INV00396,C083,2025-03-27,739,Posted
INV00397,C013,2025-05-23,3366,Posted
INV00398,C033,2025-06-18,1431,Posted
INV00399,C011,2025-05-30,1358,Posted
INV00400,C040,2025-06-17,3410,Posted
INV00401,C077,2025-01-22,2736,Pending
INV00402,C049,2025-06-14,2890,Posted
INV00403,C086,2025-06-29,4512,Posted
INV00404,C083,2025-06-21,3668,Posted
INV00405,C047,2025-01-05,3170,Posted
INV00406,C024,2025-02-24,2999,Failed
INV00407,C063,2025-02-19,2055,Posted
INV00408,C020,2025-01-20,2623,Posted
INV00409,C065,2025-05-19,4513,Posted
INV00410,C085,2025-03-28,1273,Pending
INV00411,C049,2025-02-09,1529,Posted
INV00412,C089,2025-06-09,1556,Failed
INV00413,C057,2025-01-12,3565,Posted
INV00414,C087,2025-03-02,3838,Pending
INV00415,C037,2025-04-25,2116,Posted
INV00416,C031,2025-03-21,4042,Posted
INV00417,C048,2025-06-23,4872,Posted
INV00418,C060,2025-03-14,3328,Posted
INV00419,C068,2025-04-18,1527,Posted
INV00420,C078,2025-02-05,2248,Posted
INV00421,C083,2025-05-04,3240,Pending
INV00422,C014,2025-05-13,1221,Posted
INV00423,C011,2025-02-11,2434,Posted
INV00424,C066,2025-02-07,3783,Posted
INV00425,C029,2025-04-26,3063,Posted
INV00426,C054,2025-01-14,3447,Posted
INV00427,C048,2025-03-02,3363,Posted
INV00428,C048,2025-02-27,430,Posted
INV00429,C013,2025-06-16,2946,Posted
INV00430,C018,2025-01-10,2550,Posted
INV00431,C090,2025-02-05,4042,Posted
INV00432,C079,2025-01-02,849,Posted
INV00433,C033,2025-02-25,1424,Pending
INV00434,C094,2025-06-05,4523,Posted
INV00435,C015,2025-03-15,2146,Posted
INV00436,C016,2025-01-13,2153,Posted
INV00437,C082,2025-06-09,3944,Posted
INV00438,C015,2025-05-08,4591,Posted
INV00439,C081,2025-05-12,4910,Posted
INV00440,C092,2025-02-06,2586,Posted
INV00441,C001,2025-06-07,3090,Posted
INV00442,C074,2025-04-17,1734,Pending
INV00443,C086,2025-01-22,4488,Posted
INV00444,C009,2025-05-15,4657,Posted
INV00445,C065,2025-05-22,366,Posted
INV00446,C061,2025-01-12,3369,Posted
INV00447,C033,2025-01-05,3125,Posted
INV00448,C045,2025-03-03,1049,Failed
INV00449,C075,2025-03-27,1292,Posted
INV00450,C046,2025-05-20,2973,Pending
INV00451,C023,2025-06-25,4006,Pending
INV00452,C062,2025-06-11,1693,Posted
INV00453,C009,2025-04-28,502,Posted
INV00454,C026,2025-01-12,1834,Posted
INV00455,C041,2025-03-21,4422,Posted
INV00456,C070,2025-05-02,2275,Posted
INV00457,C097,2025-06-15,1765,Posted
INV00458,C046,2025-01-13,2919,Posted
INV00459,C016,2025-04-05,3779,Posted
INV00460,C096,2025-04-23,3367,Posted
INV00461,C024,2025-05-08,4275,Posted
INV00462,C067,2025-03-10,876,Failed
INV00463,C055,2025-01-21,3727,Pending
INV00464,C024,2025-05-20,2606,Posted
INV00465,C014,2025-01-21,2886,Pending
INV00466,C038,2025-03-20,3852,Pending
INV00467,C092,2025-04-20,1565,Pending
INV00468,C057,2025-03-31,3862,Posted
INV00469,C094,2025-04-01,3763,Posted
INV00470,C082,2025-01-15,814,Pending
INV00471,C082,2025-04-14,3176,Posted
INV00472,C096,2025-06-23,1510,Posted
INV00473,C019,2025-06-05,3789,Posted
INV00474,C017,2025-01-18,2133,Failed
INV00475,C083,2025-04-04,3166,Posted
INV00476,C073,2025-01-09,1456,Pending
INV00477,C058,2025-04-05,3247,Posted
INV00478,C098,2025-01-20,4901,Posted
INV00479,C068,2025-04-04,3460,Posted
INV00480,C084,2025-03-13,2244,Posted
INV00481,C004,2025-02-17,4288,Posted
INV00482,C050,2025-05-24,1164,Posted
INV00483,C100,2025-03-08,3855,Posted
INV00484,C079,2025-03-15,4223,Posted
INV00485,C016,2025-02-04,806,Posted
INV00486,C023,2025-04-24,919,Pending
INV00487,C041,2025-06-20,3046,Failed
INV00488,C009,2025-05-21,4641,Posted
INV00489,C039,2025-02-10,1626,Posted
INV00490,C066,2025-02-27,1194,Posted
INV00491,C018,2025-03-02,4247,Posted
INV00492,C047,2025-05-22,4888,Posted
INV00493,C060,2025-05-22,1263,Pending
INV00494,C012,2025-01-17,2733,Posted
INV00495,C092,2025-05-03,4506,Posted
INV00496,C099,2025-04-15,4909,Posted
INV00497,C017,2025-03-23,807,Posted
INV00498,C060,2025-06-24,4438,Posted
INV00499,C017,2025-05-22,1690,Failed
INV00500,C017,2025-04-21,4319,Posted
INV00501,C016,2025-05-13,1453,Posted
INV00502,C022,2025-02-11,2843,Failed
INV00503,C029,2025-03-30,4450,Posted
INV00504,C011,2025-03-06,1808,Pending
INV00505,C071,2025-03-12,1225,Pending
INV00506,C039,2025-06-07,4570,Posted
INV00507,C065,2025-06-14,1581,Pending
INV00508,C075,2025-02-09,1602,Pending
INV00509,C080,2025-06-04,2965,Pending
INV00510,C006,2025-01-08,865,Posted
INV00511,C083,2025-05-28,2368,Pending
INV00512,C027,2025-05-27,3612,Pending
INV00513,C082,2025-01-08,4279,Pending
INV00514,C070,2025-03-16,2674,Posted
INV00515,C032,2025-06-25,3526,Posted
INV00516,C059,2025-01-19,690,Posted
INV00517,C057,2025-04-17,4166,Posted
INV00518,C027,2025-03-29,1376,Posted
INV00519,C092,2025-03-23,3029,Posted
INV00520,C017,2025-04-05,4418,Pending
INV00521,C014,2025-03-23,2180,Posted
INV00522,C016,2025-03-10,3883,Posted
INV00523,C019,2025-01-25,614,Posted
INV00524,C050,2025-06-07,3625,Posted
INV00525,C021,2025-03-25,4932,Failed
INV00526,C041,2025-02-18,1505,Posted
INV00527,C066,2025-04-30,4285,Posted
INV00528,C064,2025-01-06,937,Posted
INV00529,C065,2025-04-28,2172,Posted
INV00530,C075,2025-04-01,598,Posted
INV00531,C037,2025-05-07,4055,Posted
INV00532,C069,2025-01-03,1080,Posted
INV00533,C018,2025-03-09,3196,Failed
INV00534,C052,2025-04-04,570,Posted
INV00535,C007,2025-05-26,4802,Posted
INV00536,C047,2025-05-22,2564,Posted
INV00537,C050,2025-05-10,3889,Failed
INV00538,C071,2025-03-13,1173,Posted
INV00539,C013,2025-04-11,3257,Posted
INV00540,C072,2025-04-04,1381,Posted
INV00541,C078,2025-05-11,3488,Posted
INV00542,C006,2025-01-12,518,Posted
INV00543,C092,2025-03-27,4080,Posted
INV00544,C059,2025-02-08,4423,Posted
INV00545,C042,2025-06-06,2809,Posted
INV00546,C051,2025-06-07,2651,Pending
INV00547,C044,2025-05-10,4375,Posted
INV00548,C063,2025-05-25,2655,Posted
INV00549,C003,2025-04-05,2913,Pending
INV00550,C015,2025-04-17,4981,Posted
INV00551,C093,2025-06-26,418,Pending
INV00552,C061,2025-03-09,4938,Pending
INV00553,C030,2025-01-14,4980,Posted
INV00554,C022,2025-05-15,3314,Posted
INV00555,C088,2025-03-04,458,Pending
INV00556,C090,2025-01-29,1762,Posted
INV00557,C057,2025-03-22,3630,Posted
INV00558,C053,2025-06-26,1870,Posted
INV00559,C065,2025-06-06,4063,Failed
INV00560,C094,2025-01-16,1331,Posted
INV00561,C027,2025-05-24,2862,Pending
INV00562,C062,2025-05-15,3286,Posted
INV00563,C023,2025-04-28,4567,Posted
INV00564,C070,2025-04-01,2365,Pending
INV00565,C062,2025-02-19,2219,Posted
INV00566,C072,2025-03-18,2042,Posted
INV00567,C099,2025-03-15,1898,Pending
INV00568,C091,2025-05-06,2797,Posted
INV00569,C045,2025-05-24,2440,Posted
INV00570,C016,2025-05-27,4649,Posted
INV00571,C051,2025-03-30,1399,Posted
INV00572,C006,2025-03-15,847,Posted
INV00573,C057,2025-06-17,2300,Failed
INV00574,C062,2025-02-24,1855,Posted
INV00575,C035,2025-05-24,2425,Posted
INV00576,C014,2025-06-07,2160,Posted
INV00577,C007,2025-06-21,4550,Posted
INV00578,C082,2025-03-01,630,Posted
INV00579,C053,2025-03-26,4069,Posted
INV00580,C088,2025-02-05,242,Pending
INV00581,C021,2025-04-15,4096,Posted
INV00582,C084,2025-02-21,2553,Posted
INV00583,C037,2025-06-15,684,Failed
INV00584,C012,2025-06-16,4903,Posted
INV00585,C069,2025-01-10,1634,Posted
INV00586,C023,2025-01-10,3452,Posted
INV00587,C024,2025-03-16,506,Posted
INV00588,C039,2025-05-26,1079,Posted
INV00589,C037,2025-04-27,4650,Posted
INV00590,C064,2025-02-04,4330,Posted
INV00591,C035,2025-02-19,1122,Posted
INV00592,C021,2025-04-28,2307,Failed
INV00593,C024,2025-01-04,2961,Posted
INV00594,C073,2025-06-22,1782,Posted
INV00595,C079,2025-06-13,3521,Posted
INV00596,C066,2025-03-25,910,Posted
INV00597,C086,2025-01-25,1713,Posted
INV00598,C062,2025-03-24,2232,Posted
INV00599,C034,2025-04-09,2129,Posted
INV00600,C097,2025-03-10,2900,Posted
INV00601,C075,2025-05-27,293,Posted
INV00602,C084,2025-04-03,2135,Posted
INV00603,C086,2025-01-31,4012,Posted
INV00604,C021,2025-04-14,4316,Failed
INV00605,C099,2025-03-21,1161,Pending
INV00606,C038,2025-04-05,2009,Posted
INV00607,C018,2025-05-03,1454,Posted
INV00608,C096,2025-06-05,3260,Posted
INV00609,C090,2025-05-21,4057,Failed
INV00610,C069,2025-06-20,1989,Failed
INV00611,C032,2025-06-24,870,Posted
INV00612,C058,2025-05-16,3163,Posted
INV00613,C073,2025-01-29,705,Pending
INV00614,C065,2025-02-21,4891,Posted
INV00615,C020,2025-02-12,2887,Posted
INV00616,C057,2025-01-30,1882,Failed
INV00617,C075,2025-05-06,944,Posted
INV00618,C058,2025-01-15,3914,Posted
INV00619,C066,2025-04-17,3942,Pending
INV00620,C008,2025-05-24,3987,Pending
INV00621,C040,2025-01-06,3443,Posted
INV00622,C001,2025-02-25,4937,Posted
INV00623,C006,2025-04-19,3022,Pending
INV00624,C009,2025-05-19,693,Posted
INV00625,C061,2025-01-09,2551,Posted
INV00626,C024,2025-02-04,3643,Posted
INV00627,C049,2025-04-25,3292,Posted
INV00628,C011,2025-06-24,4617,Posted
INV00629,C084,2025-03-31,1171,Posted
INV00630,C069,2025-04-11,4532,Posted
INV00631,C094,2025-02-27,228,Failed
INV00632,C003,2025-03-18,3992,Pending
INV00633,C093,2025-05-20,3674,Posted
INV00634,C049,2025-02-28,2227,Posted
INV00635,C045,2025-02-09,2458,Posted
INV00636,C093,2025-01-29,463,Pending
INV00637,C054,2025-06-07,328,Posted
